state_fips_year  jan  feb  mar  apr  may  jun  jul  aug  sep  oct  nov  dec
48001281946  10.89  13.86  21.61  31.05  30.78  42.06  48.58  46.65  36.70  27.99  18.07  17.94
48001281947   9.79   9.95  15.26  24.21  34.56  39.20  48.52  47.84  39.22  33.53  13.19  12.58
48001281948   6.01   6.64  11.97  26.83  34.59  43.30  47.03  46.33  40.14  26.22  15.15  10.33
48001281949  -3.57   8.17  18.90  26.55  35.17  42.78  47.39  44.83  36.66  27.34  25.61  11.28
48001281950   8.35  16.59  15.51  22.87  28.83  38.79  44.35  40.91  36.59  31.32  19.81  17.60
48001281951   6.78  12.97  13.28  21.88  34.56  36.48  46.87  45.14  34.56  27.81  16.05   9.43
48001281952  11.35  11.07  11.41  25.14  34.14  43.74  46.74  46.99  36.18  27.01  10.45  13.55
48001281953  20.03  10.83  19.87  20.84  31.21  42.98  50.36  46.90  37.99  28.11  22.35   9.93
48001281954  16.12  19.58  12.18  27.68  33.04  41.58  51.64  45.10  39.70  29.46  21.33  12.76
48001281955   8.92   6.76  12.16  22.87  33.10  40.37  47.66  49.57  37.96  29.03  15.57  16.90
48001281956  13.23   4.91  15.60  22.82  36.54  43.83  46.89  44.11  36.75  28.78  14.74  14.58
48001281957   4.93  18.72  17.13  22.30  33.78  41.43  48.11  47.43  34.23  30.20  15.40  17.26
48001281958  10.15  18.79  11.46  23.13  36.63  41.79  45.32  46.90  37.89  28.02  19.17  15.93
48001281959  10.27  11.01  16.48  23.56  33.19  43.84  45.66  46.54  36.54  26.56  15.57  14.04
48001281960   9.99   4.87  18.43  26.24  33.17  42.58  47.03  43.90  38.41  28.60  18.97   8.31
48001281961  11.50  15.21  18.45  22.89  34.79  42.01  46.74  47.43  33.96  27.03  15.46   9.75
48001281962   2.21  14.29  12.83  26.74  35.55  40.48  45.61  43.59  36.93  29.77  21.92  14.36
48001281963   0.50  16.70  15.13  25.07  33.96  41.63  49.08  48.02  41.76  32.41  21.70  11.26
48001281964   6.98   4.73   9.57  23.45  33.35  40.24  49.50  44.55  35.19  26.65  18.32  10.80
48001281965  15.55  10.17   5.49  27.57  32.11  41.41  47.91  43.36  32.97  30.43  24.26  15.21
48001281966   9.07   8.17  18.57  21.31  33.33  40.86  50.54  44.04  39.54  27.50  21.20  12.88
48001281967  14.14  13.14  21.78  23.97  32.04  40.30  47.62  44.22  38.35  29.82  16.77   5.63
48001281968  10.63  14.83  19.89  20.48  30.56  41.31  47.26  44.01  34.99  30.09  15.04   9.81
48001281969  15.26  11.98   8.51  28.04  35.31  39.47  48.61  47.93  41.14  23.14  18.72  13.80
48001281970  13.93  15.84  12.76  20.79  33.39  40.98  48.74  47.89  35.37  22.37  20.62  13.73
48001281971  16.21  11.10  16.48  24.19  32.20  42.42  46.02  46.45  35.04  26.33  18.37  11.46
48001281972   9.54  15.31  22.75  25.81  32.83  43.97  45.00  45.27  38.08  28.33  13.82   6.22
48001281973   6.21   6.66  16.11  20.62  31.64  41.99  47.30  48.33  37.17  29.52  19.13  13.77
48001281974   8.06  13.23  21.13  25.66  33.46  42.51  47.97  41.56  32.95  28.80  20.12   8.24
48001281975   9.97   8.02  16.57  21.00  31.91  39.38  49.62  44.94  34.52  28.54  16.45  15.13
48001281976  11.01  17.20  15.55  26.76  33.40  39.97  49.98  44.51  38.48  24.12  16.02  12.78
48001281977   6.76  13.59  14.85  27.05  34.79  45.72  49.03  45.91  39.11  28.49  18.97  16.38
48001281978   9.45  12.74  21.11  27.14  32.86  40.98  47.30  43.45  38.01  27.07  16.36   4.06
48001281979  -1.34  13.21  19.63  25.14  31.78  40.96  47.89  46.31  38.89  29.88  10.53  16.47
48001281980   8.44  13.05  15.96  23.41  33.76  41.72  49.71  44.58  38.88  26.82  18.64  21.60
48001281981  13.69  14.58  18.75  30.13  34.20  43.99  48.78  45.46  40.05  29.05  22.75  15.89
48001281982   9.28  10.76  20.03  21.47  33.10  39.18  46.78  49.91  39.34  27.39  16.14  12.79
48001281983  16.74  16.11  19.31  19.56  30.00  40.60  48.69  50.25  38.82  30.02  18.68   1.56
48001281984   8.46  11.61  17.44  19.80  33.96  40.80  48.94  48.83  36.50  24.94  19.51  11.71
48001281985   3.79   8.24  18.18  26.35  34.43  40.71  48.74  42.98  35.71  27.09  13.95  11.34
