state_fips_year  jan  feb  mar  apr  may  jun  jul  aug  sep  oct  nov  dec
48001021954  25.84  31.41  23.36  40.98  46.78  56.84  67.03  61.16  54.79  42.31  33.60  23.11
48001021955  18.25  16.72  23.20  36.79  47.21  53.15  64.04  63.39  53.49  43.18  25.25  25.32
48001021956  23.29  15.55  27.23  35.49  49.44  60.57  61.43  58.50  54.36  43.90  24.71  23.67
48001021957  14.65  28.58  27.90  32.85  43.79  54.55  62.55  61.59  49.48  41.65  24.03  26.73
48001021958  21.20  28.63  21.43  33.58  50.36  56.66  59.59  62.24  53.11  43.12  30.76  25.00
48001021959  20.53  21.15  26.42  35.69  45.01  59.32  61.68  61.72  49.64  38.37  27.61  25.95
48001021960  19.09  14.81  29.23  39.29  47.01  57.13  63.21  60.64  53.98  41.68  28.83  19.47
48001021961  22.05  25.50  29.10  34.34  47.28  57.24  61.68  62.29  46.20  39.83  25.34  18.18
48001021962  12.97  23.27  23.34  39.94  48.22  54.18  60.37  60.19  52.21  44.10  33.49  25.18
48001021963  11.71  27.09  27.12  36.93  48.97  56.84  64.69  61.74  56.73  47.35  33.69  21.42
48001021964  17.22  15.35  20.41  34.27  46.99  53.85  66.09  59.67  51.53  42.44  28.67  20.39
48001021965  24.35  20.41  17.22  38.71  44.29  53.96  61.93  58.46  44.55  45.21  34.70  25.14
48001021966  18.68  18.79  31.23  34.48  48.78  55.40  66.07  59.40  53.71  40.50  32.63  22.24
48001021967  22.48  22.53  32.65  37.31  42.85  52.12  61.79  59.95  52.16  43.11  28.27  15.21
48001021968  20.97  24.15  30.81  31.35  42.60  55.89  61.93  58.03  50.02  43.29  25.97  19.76
48001021969  24.91  22.87  20.08  40.73  49.86  51.21  64.00  63.72  55.63  32.16  28.99  24.01
48001021970  21.76  27.30  23.04  30.94  47.39  54.91  63.18  63.59  49.39  34.90  29.32  23.04
48001021971  23.27  20.53  26.51  36.16  43.83  57.33  60.89  62.24  48.76  39.20  28.85  21.00
48001021972  18.99  25.72  34.84  37.74  46.04  57.61  60.22  59.67  51.53  40.05  23.00  15.78
48001021973  16.11  18.66  25.32  30.22  44.74  55.99  60.66  62.29  49.71  43.52  28.53  23.16
48001021974  17.04  22.69  31.51  36.63  48.22  57.96  63.00  57.90  48.63  42.48  30.11  19.15
48001021975  19.47  19.04  26.44  32.61  43.93  53.20  63.75  60.55  50.23  42.69  27.99  24.87
48001021976  20.19  26.91  26.76  38.32  47.07  55.09  64.71  59.92  52.95  38.89  28.51  23.95
48001021977  17.69  25.79  26.31  39.40  47.98  60.96  63.36  59.76  54.82  43.05  30.00  25.57
48001021978  18.95  21.87  32.05  38.66  44.37  56.07  63.09  58.84  53.42  41.95  27.66  13.53
