STATION,NAME,DATE,PRCP
USC00417628,"RIOMEDINA, TX US",7/1/41,0
USC00417628,"RIOMEDINA, TX US",7/2/41,0
USC00417628,"RIOMEDINA, TX US",7/3/41,0
USC00417628,"RIOMEDINA, TX US",7/4/41,0
USC00417628,"RIOMEDINA, TX US",7/5/41,0
USC00417628,"RIOMEDINA, TX US",7/6/41,0
USC00417628,"RIOMEDINA, TX US",7/7/41,0
USC00417628,"RIOMEDINA, TX US",7/8/41,0
USC00417628,"RIOMEDINA, TX US",7/9/41,0
USC00417628,"RIOMEDINA, TX US",7/10/41,0
USC00417628,"RIOMEDINA, TX US",7/11/41,0.65
USC00417628,"RIOMEDINA, TX US",7/12/41,0
USC00417628,"RIOMEDINA, TX US",7/13/41,0
USC00417628,"RIOMEDINA, TX US",7/14/41,0.62
USC00417628,"RIOMEDINA, TX US",7/15/41,0
USC00417628,"RIOMEDINA, TX US",7/16/41,0.8
USC00417628,"RIOMEDINA, TX US",7/17/41,0
USC00417628,"RIOMEDINA, TX US",7/18/41,0
USC00417628,"RIOMEDINA, TX US",7/19/41,0
USC00417628,"RIOMEDINA, TX US",7/20/41,0
USC00417628,"RIOMEDINA, TX US",7/21/41,0
USC00417628,"RIOMEDINA, TX US",7/22/41,0
USC00417628,"RIOMEDINA, TX US",7/23/41,0
USC00417628,"RIOMEDINA, TX US",7/24/41,0
USC00417628,"RIOMEDINA, TX US",7/25/41,0
USC00417628,"RIOMEDINA, TX US",7/26/41,0
USC00417628,"RIOMEDINA, TX US",7/27/41,0
USC00417628,"RIOMEDINA, TX US",7/28/41,0
USC00417628,"RIOMEDINA, TX US",7/29/41,0
USC00417628,"RIOMEDINA, TX US",7/30/41,0
USC00417628,"RIOMEDINA, TX US",7/31/41,0
USC00417628,"RIOMEDINA, TX US",8/1/41,0
USC00417628,"RIOMEDINA, TX US",8/2/41,0
USC00417628,"RIOMEDINA, TX US",8/3/41,0
USC00417628,"RIOMEDINA, TX US",8/4/41,0
USC00417628,"RIOMEDINA, TX US",8/5/41,0
USC00417628,"RIOMEDINA, TX US",8/6/41,0
USC00417628,"RIOMEDINA, TX US",8/7/41,0
USC00417628,"RIOMEDINA, TX US",8/8/41,0.32
USC00417628,"RIOMEDINA, TX US",8/9/41,0
USC00417628,"RIOMEDINA, TX US",8/10/41,0
USC00417628,"RIOMEDINA, TX US",8/11/41,0
USC00417628,"RIOMEDINA, TX US",8/12/41,0
USC00417628,"RIOMEDINA, TX US",8/13/41,0
USC00417628,"RIOMEDINA, TX US",8/14/41,0
USC00417628,"RIOMEDINA, TX US",8/15/41,0
USC00417628,"RIOMEDINA, TX US",8/16/41,0
USC00417628,"RIOMEDINA, TX US",8/17/41,0
USC00417628,"RIOMEDINA, TX US",8/18/41,0
USC00417628,"RIOMEDINA, TX US",8/19/41,0
USC00417628,"RIOMEDINA, TX US",8/20/41,0
USC00417628,"RIOMEDINA, TX US",8/21/41,0
USC00417628,"RIOMEDINA, TX US",8/22/41,0
USC00417628,"RIOMEDINA, TX US",8/23/41,0
USC00417628,"RIOMEDINA, TX US",8/24/41,0
USC00417628,"RIOMEDINA, TX US",8/25/41,0
USC00417628,"RIOMEDINA, TX US",8/26/41,0
USC00417628,"RIOMEDINA, TX US",8/27/41,0
USC00417628,"RIOMEDINA, TX US",8/28/41,0
USC00417628,"RIOMEDINA, TX US",8/29/41,0
USC00417628,"RIOMEDINA, TX US",8/30/41,0
USC00417628,"RIOMEDINA, TX US",8/31/41,0
USC00417628,"RIOMEDINA, TX US",9/1/41,0
USC00417628,"RIOMEDINA, TX US",9/2/41,0
USC00417628,"RIOMEDINA, TX US",9/3/41,0
USC00417628,"RIOMEDINA, TX US",9/4/41,0
USC00417628,"RIOMEDINA, TX US",9/5/41,0
USC00417628,"RIOMEDINA, TX US",9/6/41,0
USC00417628,"RIOMEDINA, TX US",9/7/41,0
USC00417628,"RIOMEDINA, TX US",9/8/41,0
USC00417628,"RIOMEDINA, TX US",9/9/41,2.43
USC00417628,"RIOMEDINA, TX US",9/10/41,0
USC00417628,"RIOMEDINA, TX US",9/11/41,0.17
USC00417628,"RIOMEDINA, TX US",9/12/41,0
USC00417628,"RIOMEDINA, TX US",9/13/41,0
USC00417628,"RIOMEDINA, TX US",9/14/41,0
USC00417628,"RIOMEDINA, TX US",9/15/41,0
USC00417628,"RIOMEDINA, TX US",9/16/41,0
USC00417628,"RIOMEDINA, TX US",9/17/41,1.68
USC00417628,"RIOMEDINA, TX US",9/18/41,0.28
USC00417628,"RIOMEDINA, TX US",9/19/41,0
USC00417628,"RIOMEDINA, TX US",9/20/41,0
USC00417628,"RIOMEDINA, TX US",9/21/41,0
USC00417628,"RIOMEDINA, TX US",9/22/41,0
USC00417628,"RIOMEDINA, TX US",9/23/41,0
USC00417628,"RIOMEDINA, TX US",9/24/41,0
USC00417628,"RIOMEDINA, TX US",9/25/41,0
USC00417628,"RIOMEDINA, TX US",9/26/41,0
USC00417628,"RIOMEDINA, TX US",9/27/41,0
USC00417628,"RIOMEDINA, TX US",9/28/41,0
USC00417628,"RIOMEDINA, TX US",9/29/41,0
USC00417628,"RIOMEDINA, TX US",9/30/41,0
USC00417628,"RIOMEDINA, TX US",10/1/41,0.27
USC00417628,"RIOMEDINA, TX US",10/2/41,0
USC00417628,"RIOMEDINA, TX US",10/3/41,0
USC00417628,"RIOMEDINA, TX US",10/4/41,0
USC00417628,"RIOMEDINA, TX US",10/5/41,0
USC00417628,"RIOMEDINA, TX US",10/6/41,0
USC00417628,"RIOMEDINA, TX US",10/7/41,0
USC00417628,"RIOMEDINA, TX US",10/8/41,0
USC00417628,"RIOMEDINA, TX US",10/9/41,0
USC00417628,"RIOMEDINA, TX US",10/10/41,0
USC00417628,"RIOMEDINA, TX US",10/11/41,0.12
USC00417628,"RIOMEDINA, TX US",10/12/41,0
USC00417628,"RIOMEDINA, TX US",10/13/41,0
USC00417628,"RIOMEDINA, TX US",10/14/41,0
USC00417628,"RIOMEDINA, TX US",10/15/41,0
USC00417628,"RIOMEDINA, TX US",10/16/41,0
USC00417628,"RIOMEDINA, TX US",10/17/41,0
USC00417628,"RIOMEDINA, TX US",10/18/41,0
USC00417628,"RIOMEDINA, TX US",10/19/41,0
USC00417628,"RIOMEDINA, TX US",10/20/41,0
USC00417628,"RIOMEDINA, TX US",10/21/41,0
USC00417628,"RIOMEDINA, TX US",10/22/41,0
USC00417628,"RIOMEDINA, TX US",10/23/41,0.42
USC00417628,"RIOMEDINA, TX US",10/24/41,0
USC00417628,"RIOMEDINA, TX US",10/25/41,0
USC00417628,"RIOMEDINA, TX US",10/26/41,0
USC00417628,"RIOMEDINA, TX US",10/27/41,0
USC00417628,"RIOMEDINA, TX US",10/28/41,0
USC00417628,"RIOMEDINA, TX US",10/29/41,0
USC00417628,"RIOMEDINA, TX US",10/30/41,0.22
USC00417628,"RIOMEDINA, TX US",10/31/41,0
USC00417628,"RIOMEDINA, TX US",11/1/41,0
USC00417628,"RIOMEDINA, TX US",11/2/41,0
USC00417628,"RIOMEDINA, TX US",11/3/41,0
USC00417628,"RIOMEDINA, TX US",11/4/41,0
USC00417628,"RIOMEDINA, TX US",11/5/41,0
USC00417628,"RIOMEDINA, TX US",11/6/41,0
USC00417628,"RIOMEDINA, TX US",11/7/41,0
USC00417628,"RIOMEDINA, TX US",11/8/41,0
USC00417628,"RIOMEDINA, TX US",11/9/41,0
USC00417628,"RIOMEDINA, TX US",11/10/41,0
USC00417628,"RIOMEDINA, TX US",11/11/41,0
USC00417628,"RIOMEDINA, TX US",11/12/41,0
USC00417628,"RIOMEDINA, TX US",11/13/41,0
USC00417628,"RIOMEDINA, TX US",11/14/41,0
