"STATION","NAME","DATE","PRCP"
"USC00416276","NEW BRAUNFELS, TX US","1893-01-01",
"USC00416276","NEW BRAUNFELS, TX US","1893-01-02",
"USC00416276","NEW BRAUNFELS, TX US","1893-01-03",
"USC00416276","NEW BRAUNFELS, TX US","1893-01-04",
"USC00416276","NEW BRAUNFELS, TX US","1893-01-05",
"USC00416276","NEW BRAUNFELS, TX US","1893-01-06",
"USC00416276","NEW BRAUNFELS, TX US","1893-01-07",
"USC00416276","NEW BRAUNFELS, TX US","1893-01-08",
"USC00416276","NEW BRAUNFELS, TX US","1893-01-09",
"USC00416276","NEW BRAUNFELS, TX US","1893-01-10",
"USC00416276","NEW BRAUNFELS, TX US","1893-01-11",
"USC00416276","NEW BRAUNFELS, TX US","1893-01-12",
"USC00416276","NEW BRAUNFELS, TX US","1893-01-13",
"USC00416276","NEW BRAUNFELS, TX US","1893-01-14",
"USC00416276","NEW BRAUNFELS, TX US","1893-01-15",
"USC00416276","NEW BRAUNFELS, TX US","1893-01-16","0.11"
"USC00416276","NEW BRAUNFELS, TX US","1893-01-17",
"USC00416276","NEW BRAUNFELS, TX US","1893-01-18",
"USC00416276","NEW BRAUNFELS, TX US","1893-01-19",
"USC00416276","NEW BRAUNFELS, TX US","1893-01-20",
"USC00416276","NEW BRAUNFELS, TX US","1893-01-21",
"USC00416276","NEW BRAUNFELS, TX US","1893-01-22","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1893-01-23",
"USC00416276","NEW BRAUNFELS, TX US","1893-01-24",
"USC00416276","NEW BRAUNFELS, TX US","1893-01-25",
"USC00416276","NEW BRAUNFELS, TX US","1893-01-26",
"USC00416276","NEW BRAUNFELS, TX US","1893-01-27",
"USC00416276","NEW BRAUNFELS, TX US","1893-01-28",
"USC00416276","NEW BRAUNFELS, TX US","1893-01-29","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1893-01-30",
"USC00416276","NEW BRAUNFELS, TX US","1893-01-31","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1893-02-01",
"USC00416276","NEW BRAUNFELS, TX US","1893-02-02",
"USC00416276","NEW BRAUNFELS, TX US","1893-02-03",
"USC00416276","NEW BRAUNFELS, TX US","1893-02-04",
"USC00416276","NEW BRAUNFELS, TX US","1893-02-05",
"USC00416276","NEW BRAUNFELS, TX US","1893-02-06",
"USC00416276","NEW BRAUNFELS, TX US","1893-02-07",
"USC00416276","NEW BRAUNFELS, TX US","1893-02-08",
"USC00416276","NEW BRAUNFELS, TX US","1893-02-09",
"USC00416276","NEW BRAUNFELS, TX US","1893-02-10",
"USC00416276","NEW BRAUNFELS, TX US","1893-02-11",
"USC00416276","NEW BRAUNFELS, TX US","1893-02-12",
"USC00416276","NEW BRAUNFELS, TX US","1893-02-13","0.20"
"USC00416276","NEW BRAUNFELS, TX US","1893-02-14",
"USC00416276","NEW BRAUNFELS, TX US","1893-02-15","0.02"
"USC00416276","NEW BRAUNFELS, TX US","1893-02-16",
"USC00416276","NEW BRAUNFELS, TX US","1893-02-17",
"USC00416276","NEW BRAUNFELS, TX US","1893-02-18",
"USC00416276","NEW BRAUNFELS, TX US","1893-02-19",
"USC00416276","NEW BRAUNFELS, TX US","1893-02-20","0.26"
"USC00416276","NEW BRAUNFELS, TX US","1893-02-21",
"USC00416276","NEW BRAUNFELS, TX US","1893-02-22",
"USC00416276","NEW BRAUNFELS, TX US","1893-02-23",
"USC00416276","NEW BRAUNFELS, TX US","1893-02-24",
"USC00416276","NEW BRAUNFELS, TX US","1893-02-25",
"USC00416276","NEW BRAUNFELS, TX US","1893-02-26","0.21"
"USC00416276","NEW BRAUNFELS, TX US","1893-02-27",
"USC00416276","NEW BRAUNFELS, TX US","1893-02-28",
"USC00416276","NEW BRAUNFELS, TX US","1893-03-01",
"USC00416276","NEW BRAUNFELS, TX US","1893-03-02",
"USC00416276","NEW BRAUNFELS, TX US","1893-03-03",
"USC00416276","NEW BRAUNFELS, TX US","1893-03-04",
"USC00416276","NEW BRAUNFELS, TX US","1893-03-05",
"USC00416276","NEW BRAUNFELS, TX US","1893-03-06","2.06"
"USC00416276","NEW BRAUNFELS, TX US","1893-03-07",
"USC00416276","NEW BRAUNFELS, TX US","1893-03-08",
"USC00416276","NEW BRAUNFELS, TX US","1893-03-09",
"USC00416276","NEW BRAUNFELS, TX US","1893-03-10",
"USC00416276","NEW BRAUNFELS, TX US","1893-03-11",
"USC00416276","NEW BRAUNFELS, TX US","1893-03-12",
"USC00416276","NEW BRAUNFELS, TX US","1893-03-13",
"USC00416276","NEW BRAUNFELS, TX US","1893-03-14",
"USC00416276","NEW BRAUNFELS, TX US","1893-03-15",
"USC00416276","NEW BRAUNFELS, TX US","1893-03-16","0.05"
"USC00416276","NEW BRAUNFELS, TX US","1893-03-17",
"USC00416276","NEW BRAUNFELS, TX US","1893-03-18",
"USC00416276","NEW BRAUNFELS, TX US","1893-03-19","0.06"
"USC00416276","NEW BRAUNFELS, TX US","1893-03-20",
"USC00416276","NEW BRAUNFELS, TX US","1893-03-21",
"USC00416276","NEW BRAUNFELS, TX US","1893-03-22",
"USC00416276","NEW BRAUNFELS, TX US","1893-03-23","0.10"
"USC00416276","NEW BRAUNFELS, TX US","1893-03-24",
"USC00416276","NEW BRAUNFELS, TX US","1893-03-25",
"USC00416276","NEW BRAUNFELS, TX US","1893-03-26",
"USC00416276","NEW BRAUNFELS, TX US","1893-03-27",
"USC00416276","NEW BRAUNFELS, TX US","1893-03-28",
"USC00416276","NEW BRAUNFELS, TX US","1893-03-29",
"USC00416276","NEW BRAUNFELS, TX US","1893-03-30",
"USC00416276","NEW BRAUNFELS, TX US","1893-03-31",
"USC00416276","NEW BRAUNFELS, TX US","1893-04-01",
"USC00416276","NEW BRAUNFELS, TX US","1893-04-02",
"USC00416276","NEW BRAUNFELS, TX US","1893-04-03",
"USC00416276","NEW BRAUNFELS, TX US","1893-04-04",
