STATION,NAME,DATE,PRCP
USC00417628,"RIOMEDINA, TX US",1/1/34,0
USC00417628,"RIOMEDINA, TX US",1/2/34,0.5
USC00417628,"RIOMEDINA, TX US",1/3/34,0
USC00417628,"RIOMEDINA, TX US",1/4/34,0
USC00417628,"RIOMEDINA, TX US",1/5/34,0
USC00417628,"RIOMEDINA, TX US",1/6/34,0.2
USC00417628,"RIOMEDINA, TX US",1/7/34,0
USC00417628,"RIOMEDINA, TX US",1/8/34,0
USC00417628,"RIOMEDINA, TX US",1/9/34,0
USC00417628,"RIOMEDINA, TX US",1/10/34,0
USC00417628,"RIOMEDINA, TX US",1/11/34,0.7
USC00417628,"RIOMEDINA, TX US",1/12/34,0
USC00417628,"RIOMEDINA, TX US",1/13/34,0
USC00417628,"RIOMEDINA, TX US",1/14/34,0
USC00417628,"RIOMEDINA, TX US",1/15/34,0
USC00417628,"RIOMEDINA, TX US",1/16/34,0
USC00417628,"RIOMEDINA, TX US",1/17/34,0.35
USC00417628,"RIOMEDINA, TX US",1/18/34,0
USC00417628,"RIOMEDINA, TX US",1/19/34,1.6
USC00417628,"RIOMEDINA, TX US",1/20/34,0
USC00417628,"RIOMEDINA, TX US",1/21/34,0
USC00417628,"RIOMEDINA, TX US",1/22/34,0
USC00417628,"RIOMEDINA, TX US",1/23/34,0
USC00417628,"RIOMEDINA, TX US",1/24/34,0.35
USC00417628,"RIOMEDINA, TX US",1/25/34,0
USC00417628,"RIOMEDINA, TX US",1/26/34,0.55
USC00417628,"RIOMEDINA, TX US",1/27/34,0
USC00417628,"RIOMEDINA, TX US",1/28/34,0
USC00417628,"RIOMEDINA, TX US",1/29/34,0
USC00417628,"RIOMEDINA, TX US",1/30/34,0.95
USC00417628,"RIOMEDINA, TX US",1/31/34,0
USC00417628,"RIOMEDINA, TX US",2/1/34,0
USC00417628,"RIOMEDINA, TX US",2/2/34,0
USC00417628,"RIOMEDINA, TX US",2/3/34,0
USC00417628,"RIOMEDINA, TX US",2/4/34,0
USC00417628,"RIOMEDINA, TX US",2/5/34,0
USC00417628,"RIOMEDINA, TX US",2/6/34,0
USC00417628,"RIOMEDINA, TX US",2/7/34,0
USC00417628,"RIOMEDINA, TX US",2/8/34,0.23
USC00417628,"RIOMEDINA, TX US",2/9/34,0
USC00417628,"RIOMEDINA, TX US",2/10/34,0.6
USC00417628,"RIOMEDINA, TX US",2/11/34,0
USC00417628,"RIOMEDINA, TX US",2/12/34,0
USC00417628,"RIOMEDINA, TX US",2/13/34,0
USC00417628,"RIOMEDINA, TX US",2/14/34,0
USC00417628,"RIOMEDINA, TX US",2/15/34,0
USC00417628,"RIOMEDINA, TX US",2/16/34,0
USC00417628,"RIOMEDINA, TX US",2/17/34,0
USC00417628,"RIOMEDINA, TX US",2/18/34,0
USC00417628,"RIOMEDINA, TX US",2/19/34,0
USC00417628,"RIOMEDINA, TX US",2/20/34,0
USC00417628,"RIOMEDINA, TX US",2/21/34,0
USC00417628,"RIOMEDINA, TX US",2/22/34,0
USC00417628,"RIOMEDINA, TX US",2/23/34,0
USC00417628,"RIOMEDINA, TX US",2/24/34,0
USC00417628,"RIOMEDINA, TX US",2/25/34,0
USC00417628,"RIOMEDINA, TX US",2/26/34,0
USC00417628,"RIOMEDINA, TX US",2/27/34,0
USC00417628,"RIOMEDINA, TX US",2/28/34,0
USC00417628,"RIOMEDINA, TX US",3/1/34,0.94
USC00417628,"RIOMEDINA, TX US",3/2/34,0
USC00417628,"RIOMEDINA, TX US",3/3/34,0
USC00417628,"RIOMEDINA, TX US",3/4/34,0
USC00417628,"RIOMEDINA, TX US",3/5/34,0
