STATION,NAME,DATE,PRCP
USC00416276,"NEW BRAUNFELS, TX US",7/1/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/2/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/3/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/4/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/5/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/6/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/7/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/8/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/9/14,0.12
USC00416276,"NEW BRAUNFELS, TX US",7/10/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/11/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/12/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/13/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/14/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/15/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/16/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/17/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/18/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/19/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/20/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/21/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/22/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/23/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/24/14,0.5
USC00416276,"NEW BRAUNFELS, TX US",7/25/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/26/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/27/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/28/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/29/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/30/14,0
USC00416276,"NEW BRAUNFELS, TX US",7/31/14,0
USC00416276,"NEW BRAUNFELS, TX US",8/1/14,0
USC00416276,"NEW BRAUNFELS, TX US",8/2/14,0
USC00416276,"NEW BRAUNFELS, TX US",8/3/14,0
USC00416276,"NEW BRAUNFELS, TX US",8/4/14,0.27
USC00416276,"NEW BRAUNFELS, TX US",8/5/14,0.37
USC00416276,"NEW BRAUNFELS, TX US",8/6/14,0.07
USC00416276,"NEW BRAUNFELS, TX US",8/7/14,2.76
USC00416276,"NEW BRAUNFELS, TX US",8/8/14,0
USC00416276,"NEW BRAUNFELS, TX US",8/9/14,0
USC00416276,"NEW BRAUNFELS, TX US",8/10/14,0
USC00416276,"NEW BRAUNFELS, TX US",8/11/14,0
USC00416276,"NEW BRAUNFELS, TX US",8/12/14,0
USC00416276,"NEW BRAUNFELS, TX US",8/13/14,0
USC00416276,"NEW BRAUNFELS, TX US",8/14/14,0
USC00416276,"NEW BRAUNFELS, TX US",8/15/14,3.09
USC00416276,"NEW BRAUNFELS, TX US",8/16/14,0.07
USC00416276,"NEW BRAUNFELS, TX US",8/17/14,0.18
USC00416276,"NEW BRAUNFELS, TX US",8/18/14,0.08
USC00416276,"NEW BRAUNFELS, TX US",8/19/14,0
USC00416276,"NEW BRAUNFELS, TX US",8/20/14,0
USC00416276,"NEW BRAUNFELS, TX US",8/21/14,0
USC00416276,"NEW BRAUNFELS, TX US",8/22/14,0.46
USC00416276,"NEW BRAUNFELS, TX US",8/23/14,0
USC00416276,"NEW BRAUNFELS, TX US",8/24/14,0
USC00416276,"NEW BRAUNFELS, TX US",8/25/14,0
USC00416276,"NEW BRAUNFELS, TX US",8/26/14,0
USC00416276,"NEW BRAUNFELS, TX US",8/27/14,0
USC00416276,"NEW BRAUNFELS, TX US",8/28/14,0
USC00416276,"NEW BRAUNFELS, TX US",8/29/14,0
USC00416276,"NEW BRAUNFELS, TX US",8/30/14,0
USC00416276,"NEW BRAUNFELS, TX US",8/31/14,0
USC00416276,"NEW BRAUNFELS, TX US",9/1/14,0
USC00416276,"NEW BRAUNFELS, TX US",9/2/14,0
USC00416276,"NEW BRAUNFELS, TX US",9/3/14,0
USC00416276,"NEW BRAUNFELS, TX US",9/4/14,0
USC00416276,"NEW BRAUNFELS, TX US",9/5/14,0
USC00416276,"NEW BRAUNFELS, TX US",9/6/14,0
USC00416276,"NEW BRAUNFELS, TX US",9/7/14,0
USC00416276,"NEW BRAUNFELS, TX US",9/8/14,0
USC00416276,"NEW BRAUNFELS, TX US",9/9/14,0
USC00416276,"NEW BRAUNFELS, TX US",9/10/14,0
USC00416276,"NEW BRAUNFELS, TX US",9/11/14,0
USC00416276,"NEW BRAUNFELS, TX US",9/12/14,0
USC00416276,"NEW BRAUNFELS, TX US",9/13/14,0
USC00416276,"NEW BRAUNFELS, TX US",9/14/14,0
USC00416276,"NEW BRAUNFELS, TX US",9/15/14,0
USC00416276,"NEW BRAUNFELS, TX US",9/16/14,0
USC00416276,"NEW BRAUNFELS, TX US",9/17/14,0.19
USC00416276,"NEW BRAUNFELS, TX US",9/18/14,0
USC00416276,"NEW BRAUNFELS, TX US",9/19/14,0
USC00416276,"NEW BRAUNFELS, TX US",9/20/14,0
