STATION,NAME,DATE,PRCP
USC00416276,"NEW BRAUNFELS, TX US",1/1/12,0.04
USC00416276,"NEW BRAUNFELS, TX US",1/2/12,0
USC00416276,"NEW BRAUNFELS, TX US",1/3/12,0
USC00416276,"NEW BRAUNFELS, TX US",1/4/12,0
USC00416276,"NEW BRAUNFELS, TX US",1/5/12,0
USC00416276,"NEW BRAUNFELS, TX US",1/6/12,0
USC00416276,"NEW BRAUNFELS, TX US",1/7/12,0
USC00416276,"NEW BRAUNFELS, TX US",1/8/12,0
USC00416276,"NEW BRAUNFELS, TX US",1/9/12,0
USC00416276,"NEW BRAUNFELS, TX US",1/10/12,0
USC00416276,"NEW BRAUNFELS, TX US",1/11/12,0
USC00416276,"NEW BRAUNFELS, TX US",1/12/12,0.04
USC00416276,"NEW BRAUNFELS, TX US",1/13/12,0
USC00416276,"NEW BRAUNFELS, TX US",1/14/12,0
USC00416276,"NEW BRAUNFELS, TX US",1/15/12,0
USC00416276,"NEW BRAUNFELS, TX US",1/16/12,0
USC00416276,"NEW BRAUNFELS, TX US",1/17/12,0
USC00416276,"NEW BRAUNFELS, TX US",1/18/12,0
USC00416276,"NEW BRAUNFELS, TX US",1/19/12,0
USC00416276,"NEW BRAUNFELS, TX US",1/20/12,0
USC00416276,"NEW BRAUNFELS, TX US",1/21/12,0
USC00416276,"NEW BRAUNFELS, TX US",1/22/12,0.38
USC00416276,"NEW BRAUNFELS, TX US",1/23/12,0
USC00416276,"NEW BRAUNFELS, TX US",1/24/12,0
USC00416276,"NEW BRAUNFELS, TX US",1/25/12,0
USC00416276,"NEW BRAUNFELS, TX US",1/26/12,0
USC00416276,"NEW BRAUNFELS, TX US",1/27/12,0
USC00416276,"NEW BRAUNFELS, TX US",1/28/12,0
USC00416276,"NEW BRAUNFELS, TX US",1/29/12,0
USC00416276,"NEW BRAUNFELS, TX US",1/30/12,0
USC00416276,"NEW BRAUNFELS, TX US",1/31/12,0
USC00416276,"NEW BRAUNFELS, TX US",2/1/12,0
USC00416276,"NEW BRAUNFELS, TX US",2/2/12,0
USC00416276,"NEW BRAUNFELS, TX US",2/3/12,0
USC00416276,"NEW BRAUNFELS, TX US",2/4/12,0
USC00416276,"NEW BRAUNFELS, TX US",2/5/12,0
USC00416276,"NEW BRAUNFELS, TX US",2/6/12,0
USC00416276,"NEW BRAUNFELS, TX US",2/7/12,0
USC00416276,"NEW BRAUNFELS, TX US",2/8/12,0
USC00416276,"NEW BRAUNFELS, TX US",2/9/12,0
USC00416276,"NEW BRAUNFELS, TX US",2/10/12,0
USC00416276,"NEW BRAUNFELS, TX US",2/11/12,0
USC00416276,"NEW BRAUNFELS, TX US",2/12/12,0.64
USC00416276,"NEW BRAUNFELS, TX US",2/13/12,1.86
USC00416276,"NEW BRAUNFELS, TX US",2/14/12,0
USC00416276,"NEW BRAUNFELS, TX US",2/15/12,0
USC00416276,"NEW BRAUNFELS, TX US",2/16/12,0
USC00416276,"NEW BRAUNFELS, TX US",2/17/12,0
USC00416276,"NEW BRAUNFELS, TX US",2/18/12,0
USC00416276,"NEW BRAUNFELS, TX US",2/19/12,0
USC00416276,"NEW BRAUNFELS, TX US",2/20/12,0
USC00416276,"NEW BRAUNFELS, TX US",2/21/12,0
USC00416276,"NEW BRAUNFELS, TX US",2/22/12,0
USC00416276,"NEW BRAUNFELS, TX US",2/23/12,2.88
USC00416276,"NEW BRAUNFELS, TX US",2/24/12,0
USC00416276,"NEW BRAUNFELS, TX US",2/25/12,0
USC00416276,"NEW BRAUNFELS, TX US",2/26/12,0
USC00416276,"NEW BRAUNFELS, TX US",2/27/12,0
USC00416276,"NEW BRAUNFELS, TX US",2/28/12,0
USC00416276,"NEW BRAUNFELS, TX US",2/29/12,0
USC00416276,"NEW BRAUNFELS, TX US",3/1/12,0
USC00416276,"NEW BRAUNFELS, TX US",3/2/12,0.26
USC00416276,"NEW BRAUNFELS, TX US",3/3/12,0
USC00416276,"NEW BRAUNFELS, TX US",3/4/12,0.06
USC00416276,"NEW BRAUNFELS, TX US",3/5/12,0.1
USC00416276,"NEW BRAUNFELS, TX US",3/6/12,0
USC00416276,"NEW BRAUNFELS, TX US",3/7/12,0.07
USC00416276,"NEW BRAUNFELS, TX US",3/8/12,0
USC00416276,"NEW BRAUNFELS, TX US",3/9/12,0
USC00416276,"NEW BRAUNFELS, TX US",3/10/12,0
USC00416276,"NEW BRAUNFELS, TX US",3/11/12,0.12
USC00416276,"NEW BRAUNFELS, TX US",3/12/12,0
USC00416276,"NEW BRAUNFELS, TX US",3/13/12,0
USC00416276,"NEW BRAUNFELS, TX US",3/14/12,0.12
USC00416276,"NEW BRAUNFELS, TX US",3/15/12,0
USC00416276,"NEW BRAUNFELS, TX US",3/16/12,0
USC00416276,"NEW BRAUNFELS, TX US",3/17/12,0
USC00416276,"NEW BRAUNFELS, TX US",3/18/12,0
USC00416276,"NEW BRAUNFELS, TX US",3/19/12,0
USC00416276,"NEW BRAUNFELS, TX US",3/20/12,0
USC00416276,"NEW BRAUNFELS, TX US",3/21/12,0
USC00416276,"NEW BRAUNFELS, TX US",3/22/12,1.03
USC00416276,"NEW BRAUNFELS, TX US",3/23/12,0.1
USC00416276,"NEW BRAUNFELS, TX US",3/24/12,0
USC00416276,"NEW BRAUNFELS, TX US",3/25/12,0
USC00416276,"NEW BRAUNFELS, TX US",3/26/12,0
USC00416276,"NEW BRAUNFELS, TX US",3/27/12,0
USC00416276,"NEW BRAUNFELS, TX US",3/28/12,0.72
USC00416276,"NEW BRAUNFELS, TX US",3/29/12,0
USC00416276,"NEW BRAUNFELS, TX US",3/30/12,0
USC00416276,"NEW BRAUNFELS, TX US",3/31/12,0.18
USC00416276,"NEW BRAUNFELS, TX US",4/1/12,0.1
USC00416276,"NEW BRAUNFELS, TX US",4/2/12,0
USC00416276,"NEW BRAUNFELS, TX US",4/3/12,0
USC00416276,"NEW BRAUNFELS, TX US",4/4/12,0
USC00416276,"NEW BRAUNFELS, TX US",4/5/12,0
USC00416276,"NEW BRAUNFELS, TX US",4/6/12,0
USC00416276,"NEW BRAUNFELS, TX US",4/7/12,1.21
USC00416276,"NEW BRAUNFELS, TX US",4/8/12,0
USC00416276,"NEW BRAUNFELS, TX US",4/9/12,0
USC00416276,"NEW BRAUNFELS, TX US",4/10/12,0
USC00416276,"NEW BRAUNFELS, TX US",4/11/12,0
USC00416276,"NEW BRAUNFELS, TX US",4/12/12,0
USC00416276,"NEW BRAUNFELS, TX US",4/13/12,0
USC00416276,"NEW BRAUNFELS, TX US",4/14/12,0
USC00416276,"NEW BRAUNFELS, TX US",4/15/12,0
USC00416276,"NEW BRAUNFELS, TX US",4/16/12,0
USC00416276,"NEW BRAUNFELS, TX US",4/17/12,0
USC00416276,"NEW BRAUNFELS, TX US",4/18/12,0
USC00416276,"NEW BRAUNFELS, TX US",4/19/12,0.14
USC00416276,"NEW BRAUNFELS, TX US",4/20/12,0
USC00416276,"NEW BRAUNFELS, TX US",4/21/12,0
USC00416276,"NEW BRAUNFELS, TX US",4/22/12,0
USC00416276,"NEW BRAUNFELS, TX US",4/23/12,0
USC00416276,"NEW BRAUNFELS, TX US",4/24/12,0
USC00416276,"NEW BRAUNFELS, TX US",4/25/12,0.06
USC00416276,"NEW BRAUNFELS, TX US",4/26/12,0
USC00416276,"NEW BRAUNFELS, TX US",4/27/12,0
USC00416276,"NEW BRAUNFELS, TX US",4/28/12,0
USC00416276,"NEW BRAUNFELS, TX US",4/29/12,0
USC00416276,"NEW BRAUNFELS, TX US",4/30/12,0
USC00416276,"NEW BRAUNFELS, TX US",5/1/12,0.1
USC00416276,"NEW BRAUNFELS, TX US",5/2/12,0
USC00416276,"NEW BRAUNFELS, TX US",5/3/12,0
USC00416276,"NEW BRAUNFELS, TX US",5/4/12,0.5
USC00416276,"NEW BRAUNFELS, TX US",5/5/12,0.53
USC00416276,"NEW BRAUNFELS, TX US",5/6/12,0.05
USC00416276,"NEW BRAUNFELS, TX US",5/7/12,0
USC00416276,"NEW BRAUNFELS, TX US",5/8/12,0
USC00416276,"NEW BRAUNFELS, TX US",5/9/12,0
USC00416276,"NEW BRAUNFELS, TX US",5/10/12,0
USC00416276,"NEW BRAUNFELS, TX US",5/11/12,0
USC00416276,"NEW BRAUNFELS, TX US",5/12/12,0
USC00416276,"NEW BRAUNFELS, TX US",5/13/12,0
USC00416276,"NEW BRAUNFELS, TX US",5/14/12,0
USC00416276,"NEW BRAUNFELS, TX US",5/15/12,0.31
USC00416276,"NEW BRAUNFELS, TX US",5/16/12,0
USC00416276,"NEW BRAUNFELS, TX US",5/17/12,0
USC00416276,"NEW BRAUNFELS, TX US",5/18/12,0
USC00416276,"NEW BRAUNFELS, TX US",5/19/12,0
USC00416276,"NEW BRAUNFELS, TX US",5/20/12,0
USC00416276,"NEW BRAUNFELS, TX US",5/21/12,0
USC00416276,"NEW BRAUNFELS, TX US",5/22/12,0
USC00416276,"NEW BRAUNFELS, TX US",5/23/12,0
USC00416276,"NEW BRAUNFELS, TX US",5/24/12,0
USC00416276,"NEW BRAUNFELS, TX US",5/25/12,0
USC00416276,"NEW BRAUNFELS, TX US",5/26/12,0
USC00416276,"NEW BRAUNFELS, TX US",5/27/12,0
USC00416276,"NEW BRAUNFELS, TX US",5/28/12,0.72
USC00416276,"NEW BRAUNFELS, TX US",5/29/12,0
USC00416276,"NEW BRAUNFELS, TX US",5/30/12,0
USC00416276,"NEW BRAUNFELS, TX US",5/31/12,0
USC00416276,"NEW BRAUNFELS, TX US",6/1/12,0.66
USC00416276,"NEW BRAUNFELS, TX US",6/2/12,0
USC00416276,"NEW BRAUNFELS, TX US",6/3/12,0
USC00416276,"NEW BRAUNFELS, TX US",6/4/12,0
USC00416276,"NEW BRAUNFELS, TX US",6/5/12,0
