STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",5/4/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",5/5/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",5/6/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",5/7/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",5/8/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",5/9/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",5/10/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",5/11/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",5/12/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",5/13/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",5/14/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",5/15/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",5/16/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",5/17/09,1.3,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",5/18/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",5/19/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",5/29/09,,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",5/30/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",5/31/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",6/1/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",6/2/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",6/6/09,,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",6/7/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",6/8/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",6/9/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",6/20/09,,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",6/21/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",6/22/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",6/26/09,,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",6/27/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",6/28/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",6/29/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",6/30/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",7/1/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",7/10/09,,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",7/11/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",7/12/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",7/13/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",7/14/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",7/15/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",7/16/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",7/17/09,0,,,
