STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00417628,"RIOMEDINA, TX US",7/1/61,0,,
USC00417628,"RIOMEDINA, TX US",7/2/61,0,,
USC00417628,"RIOMEDINA, TX US",7/3/61,0,,
USC00417628,"RIOMEDINA, TX US",7/4/61,0,,
USC00417628,"RIOMEDINA, TX US",7/5/61,0,,
USC00417628,"RIOMEDINA, TX US",7/6/61,0,,
USC00417628,"RIOMEDINA, TX US",7/7/61,0,,
USC00417628,"RIOMEDINA, TX US",7/8/61,0,,
USC00417628,"RIOMEDINA, TX US",7/9/61,0,,
USC00417628,"RIOMEDINA, TX US",7/10/61,2.87,,
USC00417628,"RIOMEDINA, TX US",7/11/61,0,,
USC00417628,"RIOMEDINA, TX US",7/12/61,0,,
USC00417628,"RIOMEDINA, TX US",7/13/61,0.25,,
USC00417628,"RIOMEDINA, TX US",7/14/61,0,,
USC00417628,"RIOMEDINA, TX US",7/15/61,0,,
USC00417628,"RIOMEDINA, TX US",7/16/61,0,,
USC00417628,"RIOMEDINA, TX US",7/17/61,0,,
USC00417628,"RIOMEDINA, TX US",7/18/61,0,,
USC00417628,"RIOMEDINA, TX US",7/19/61,0,,
USC00417628,"RIOMEDINA, TX US",7/20/61,0,,
USC00417628,"RIOMEDINA, TX US",7/21/61,0,,
USC00417628,"RIOMEDINA, TX US",7/22/61,0.8,,
USC00417628,"RIOMEDINA, TX US",7/23/61,1.15,,
USC00417628,"RIOMEDINA, TX US",7/24/61,0.27,,
USC00417628,"RIOMEDINA, TX US",7/25/61,0,,
USC00417628,"RIOMEDINA, TX US",7/26/61,0,,
USC00417628,"RIOMEDINA, TX US",7/27/61,0,,
USC00417628,"RIOMEDINA, TX US",7/28/61,0.4,,
USC00417628,"RIOMEDINA, TX US",7/29/61,0,,
USC00417628,"RIOMEDINA, TX US",7/30/61,0,,
USC00417628,"RIOMEDINA, TX US",7/31/61,0,,
USC00417628,"RIOMEDINA, TX US",8/1/61,0,,
USC00417628,"RIOMEDINA, TX US",8/2/61,0,,
USC00417628,"RIOMEDINA, TX US",8/3/61,0,,
USC00417628,"RIOMEDINA, TX US",8/4/61,0,,
USC00417628,"RIOMEDINA, TX US",8/5/61,0.45,,
USC00417628,"RIOMEDINA, TX US",8/6/61,0,,
USC00417628,"RIOMEDINA, TX US",8/7/61,0,,
USC00417628,"RIOMEDINA, TX US",8/8/61,0,,
USC00417628,"RIOMEDINA, TX US",8/9/61,0,,
USC00417628,"RIOMEDINA, TX US",8/10/61,0,,
USC00417628,"RIOMEDINA, TX US",8/11/61,0,,
USC00417628,"RIOMEDINA, TX US",8/12/61,0,,
USC00417628,"RIOMEDINA, TX US",8/13/61,0,,
USC00417628,"RIOMEDINA, TX US",8/14/61,0,,
USC00417628,"RIOMEDINA, TX US",8/15/61,0,,
USC00417628,"RIOMEDINA, TX US",8/16/61,0,,
USC00417628,"RIOMEDINA, TX US",8/17/61,0,,
USC00417628,"RIOMEDINA, TX US",8/18/61,0,,
USC00417628,"RIOMEDINA, TX US",8/19/61,0,,
USC00417628,"RIOMEDINA, TX US",8/20/61,0.2,,
USC00417628,"RIOMEDINA, TX US",8/21/61,0,,
USC00417628,"RIOMEDINA, TX US",8/22/61,0,,
USC00417628,"RIOMEDINA, TX US",8/23/61,0,,
USC00417628,"RIOMEDINA, TX US",8/24/61,0,,
USC00417628,"RIOMEDINA, TX US",8/25/61,0,,
USC00417628,"RIOMEDINA, TX US",8/26/61,0,,
USC00417628,"RIOMEDINA, TX US",8/27/61,0,,
USC00417628,"RIOMEDINA, TX US",8/28/61,0,,
USC00417628,"RIOMEDINA, TX US",8/29/61,0,,
USC00417628,"RIOMEDINA, TX US",8/30/61,0,,
USC00417628,"RIOMEDINA, TX US",8/31/61,0,,
USC00417628,"RIOMEDINA, TX US",9/1/61,0,,
USC00417628,"RIOMEDINA, TX US",9/2/61,0,,
USC00417628,"RIOMEDINA, TX US",9/3/61,0,,
USC00417628,"RIOMEDINA, TX US",9/4/61,0,,
USC00417628,"RIOMEDINA, TX US",9/5/61,0,,
USC00417628,"RIOMEDINA, TX US",9/6/61,0,,
USC00417628,"RIOMEDINA, TX US",9/7/61,0,,
USC00417628,"RIOMEDINA, TX US",9/8/61,0,,
USC00417628,"RIOMEDINA, TX US",9/9/61,0,,
USC00417628,"RIOMEDINA, TX US",9/10/61,0,,
USC00417628,"RIOMEDINA, TX US",9/11/61,0,,
USC00417628,"RIOMEDINA, TX US",9/12/61,0.36,,
USC00417628,"RIOMEDINA, TX US",9/13/61,1.32,,
USC00417628,"RIOMEDINA, TX US",9/14/61,0,,
USC00417628,"RIOMEDINA, TX US",9/15/61,0,,
USC00417628,"RIOMEDINA, TX US",9/16/61,0,,
USC00417628,"RIOMEDINA, TX US",9/17/61,0,,
USC00417628,"RIOMEDINA, TX US",9/18/61,0,,
USC00417628,"RIOMEDINA, TX US",9/19/61,0,,
USC00417628,"RIOMEDINA, TX US",9/20/61,0,,
USC00417628,"RIOMEDINA, TX US",9/21/61,0,,
USC00417628,"RIOMEDINA, TX US",9/22/61,0,,
USC00417628,"RIOMEDINA, TX US",9/23/61,0,,
USC00417628,"RIOMEDINA, TX US",9/24/61,0,,
USC00417628,"RIOMEDINA, TX US",9/25/61,0,,
USC00417628,"RIOMEDINA, TX US",9/26/61,0,,
USC00417628,"RIOMEDINA, TX US",9/27/61,0,,
USC00417628,"RIOMEDINA, TX US",9/28/61,0,,
USC00417628,"RIOMEDINA, TX US",9/29/61,0,,
USC00417628,"RIOMEDINA, TX US",9/30/61,0,,
USC00417628,"RIOMEDINA, TX US",10/1/61,0,,
USC00417628,"RIOMEDINA, TX US",10/2/61,1.38,,
USC00417628,"RIOMEDINA, TX US",10/3/61,0,,
USC00417628,"RIOMEDINA, TX US",10/4/61,0,,
USC00417628,"RIOMEDINA, TX US",10/5/61,0,,
USC00417628,"RIOMEDINA, TX US",10/6/61,0,,
USC00417628,"RIOMEDINA, TX US",10/7/61,0,,
USC00417628,"RIOMEDINA, TX US",10/8/61,0,,
USC00417628,"RIOMEDINA, TX US",10/9/61,0,,
USC00417628,"RIOMEDINA, TX US",10/10/61,0.3,,
USC00417628,"RIOMEDINA, TX US",10/11/61,0,,
USC00417628,"RIOMEDINA, TX US",10/12/61,0,,
USC00417628,"RIOMEDINA, TX US",10/13/61,0,,
USC00417628,"RIOMEDINA, TX US",10/14/61,0,,
USC00417628,"RIOMEDINA, TX US",10/15/61,0,,
USC00417628,"RIOMEDINA, TX US",10/16/61,0,,
USC00417628,"RIOMEDINA, TX US",10/17/61,0,,
USC00417628,"RIOMEDINA, TX US",10/18/61,0,,
USC00417628,"RIOMEDINA, TX US",10/19/61,0,,
USC00417628,"RIOMEDINA, TX US",10/20/61,0,,
USC00417628,"RIOMEDINA, TX US",10/21/61,0,,
USC00417628,"RIOMEDINA, TX US",10/22/61,0,,
USC00417628,"RIOMEDINA, TX US",10/23/61,0,,
USC00417628,"RIOMEDINA, TX US",10/24/61,0,,
USC00417628,"RIOMEDINA, TX US",10/25/61,0,,
USC00417628,"RIOMEDINA, TX US",10/26/61,1.08,,
USC00417628,"RIOMEDINA, TX US",10/27/61,0.08,,
USC00417628,"RIOMEDINA, TX US",10/28/61,0,,
USC00417628,"RIOMEDINA, TX US",10/29/61,0,,
USC00417628,"RIOMEDINA, TX US",10/30/61,0,,
USC00417628,"RIOMEDINA, TX US",10/31/61,0,,
USC00417628,"RIOMEDINA, TX US",11/1/61,0,,
USC00417628,"RIOMEDINA, TX US",11/2/61,0.14,,
USC00417628,"RIOMEDINA, TX US",11/3/61,0,,
USC00417628,"RIOMEDINA, TX US",11/4/61,0,,
USC00417628,"RIOMEDINA, TX US",11/5/61,0,,
USC00417628,"RIOMEDINA, TX US",11/6/61,0.36,,
USC00417628,"RIOMEDINA, TX US",11/7/61,0,,
USC00417628,"RIOMEDINA, TX US",11/8/61,0,,
USC00417628,"RIOMEDINA, TX US",11/9/61,0,,
USC00417628,"RIOMEDINA, TX US",11/10/61,0,,
USC00417628,"RIOMEDINA, TX US",11/11/61,0,,
USC00417628,"RIOMEDINA, TX US",11/12/61,0,,
USC00417628,"RIOMEDINA, TX US",11/13/61,0.56,,
USC00417628,"RIOMEDINA, TX US",11/14/61,0,,
USC00417628,"RIOMEDINA, TX US",11/15/61,0.28,,
USC00417628,"RIOMEDINA, TX US",11/16/61,0,,
USC00417628,"RIOMEDINA, TX US",11/17/61,0,,
USC00417628,"RIOMEDINA, TX US",11/18/61,0,,
USC00417628,"RIOMEDINA, TX US",11/19/61,0,,
USC00417628,"RIOMEDINA, TX US",11/20/61,0,,
USC00417628,"RIOMEDINA, TX US",11/21/61,0.22,,
USC00417628,"RIOMEDINA, TX US",11/22/61,0.06,,
USC00417628,"RIOMEDINA, TX US",11/23/61,0,,
USC00417628,"RIOMEDINA, TX US",11/24/61,0,,
USC00417628,"RIOMEDINA, TX US",11/25/61,0,,
USC00417628,"RIOMEDINA, TX US",11/26/61,0,,
USC00417628,"RIOMEDINA, TX US",11/27/61,0,,
USC00417628,"RIOMEDINA, TX US",11/28/61,0,,
USC00417628,"RIOMEDINA, TX US",11/29/61,0,,
USC00417628,"RIOMEDINA, TX US",11/30/61,0,,
USC00417628,"RIOMEDINA, TX US",12/1/61,0,,
USC00417628,"RIOMEDINA, TX US",12/2/61,0,,
USC00417628,"RIOMEDINA, TX US",12/3/61,0,,
USC00417628,"RIOMEDINA, TX US",12/4/61,0,,
USC00417628,"RIOMEDINA, TX US",12/5/61,0,,
USC00417628,"RIOMEDINA, TX US",12/6/61,0,,
USC00417628,"RIOMEDINA, TX US",12/7/61,0,,
USC00417628,"RIOMEDINA, TX US",12/8/61,0.3,,
USC00417628,"RIOMEDINA, TX US",12/9/61,0,,
USC00417628,"RIOMEDINA, TX US",12/10/61,0,,
USC00417628,"RIOMEDINA, TX US",12/11/61,0.08,,
USC00417628,"RIOMEDINA, TX US",12/12/61,0,,
USC00417628,"RIOMEDINA, TX US",12/13/61,0,,
USC00417628,"RIOMEDINA, TX US",12/14/61,0,,
USC00417628,"RIOMEDINA, TX US",12/15/61,0.13,,
USC00417628,"RIOMEDINA, TX US",12/16/61,0.09,,
USC00417628,"RIOMEDINA, TX US",12/17/61,0,,
USC00417628,"RIOMEDINA, TX US",12/18/61,0,,
USC00417628,"RIOMEDINA, TX US",12/19/61,0,,
USC00417628,"RIOMEDINA, TX US",12/20/61,0,,
USC00417628,"RIOMEDINA, TX US",12/21/61,0,,
USC00417628,"RIOMEDINA, TX US",12/22/61,0,,
USC00417628,"RIOMEDINA, TX US",12/23/61,0,,
USC00417628,"RIOMEDINA, TX US",12/24/61,0,,
USC00417628,"RIOMEDINA, TX US",12/25/61,0,,
USC00417628,"RIOMEDINA, TX US",12/26/61,0,,
USC00417628,"RIOMEDINA, TX US",12/27/61,0,,
USC00417628,"RIOMEDINA, TX US",12/28/61,0,,
USC00417628,"RIOMEDINA, TX US",12/29/61,0,,
USC00417628,"RIOMEDINA, TX US",12/30/61,0,,
USC00417628,"RIOMEDINA, TX US",12/31/61,0,,
USC00417628,"RIOMEDINA, TX US",1/1/62,0,,
USC00417628,"RIOMEDINA, TX US",1/2/62,0,,
USC00417628,"RIOMEDINA, TX US",1/3/62,0,,
USC00417628,"RIOMEDINA, TX US",1/4/62,0,,
USC00417628,"RIOMEDINA, TX US",1/5/62,0,,
USC00417628,"RIOMEDINA, TX US",1/6/62,0,,
USC00417628,"RIOMEDINA, TX US",1/7/62,0,,
USC00417628,"RIOMEDINA, TX US",1/8/62,0,,
USC00417628,"RIOMEDINA, TX US",1/9/62,0,,
USC00417628,"RIOMEDINA, TX US",1/10/62,0,,
USC00417628,"RIOMEDINA, TX US",1/11/62,0,,
USC00417628,"RIOMEDINA, TX US",1/12/62,0,,
USC00417628,"RIOMEDINA, TX US",1/13/62,0,,
USC00417628,"RIOMEDINA, TX US",1/14/62,0,,
USC00417628,"RIOMEDINA, TX US",1/15/62,0,,
USC00417628,"RIOMEDINA, TX US",1/16/62,0,,
USC00417628,"RIOMEDINA, TX US",1/17/62,0,,
USC00417628,"RIOMEDINA, TX US",1/18/62,0,,
USC00417628,"RIOMEDINA, TX US",1/19/62,0,,
USC00417628,"RIOMEDINA, TX US",1/20/62,0.05,,
USC00417628,"RIOMEDINA, TX US",1/21/62,0.06,,
USC00417628,"RIOMEDINA, TX US",1/22/62,0.19,,
