STATION,NAME,DATE,PRCP
USC00416276,"NEW BRAUNFELS, TX US",8/1/16,0
USC00416276,"NEW BRAUNFELS, TX US",8/2/16,0.07
USC00416276,"NEW BRAUNFELS, TX US",8/3/16,0
USC00416276,"NEW BRAUNFELS, TX US",8/4/16,0
USC00416276,"NEW BRAUNFELS, TX US",8/5/16,0.06
USC00416276,"NEW BRAUNFELS, TX US",8/6/16,0
USC00416276,"NEW BRAUNFELS, TX US",8/7/16,0
USC00416276,"NEW BRAUNFELS, TX US",8/8/16,0
USC00416276,"NEW BRAUNFELS, TX US",8/9/16,0
USC00416276,"NEW BRAUNFELS, TX US",8/10/16,0
USC00416276,"NEW BRAUNFELS, TX US",8/11/16,0
USC00416276,"NEW BRAUNFELS, TX US",8/12/16,0
USC00416276,"NEW BRAUNFELS, TX US",8/13/16,0
USC00416276,"NEW BRAUNFELS, TX US",8/14/16,0
USC00416276,"NEW BRAUNFELS, TX US",8/15/16,0
USC00416276,"NEW BRAUNFELS, TX US",8/16/16,0.41
USC00416276,"NEW BRAUNFELS, TX US",8/17/16,0
USC00416276,"NEW BRAUNFELS, TX US",8/18/16,0
USC00416276,"NEW BRAUNFELS, TX US",8/19/16,1.13
USC00416276,"NEW BRAUNFELS, TX US",8/20/16,0
USC00416276,"NEW BRAUNFELS, TX US",8/21/16,0
USC00416276,"NEW BRAUNFELS, TX US",8/22/16,0.09
USC00416276,"NEW BRAUNFELS, TX US",8/23/16,0
USC00416276,"NEW BRAUNFELS, TX US",8/24/16,0
USC00416276,"NEW BRAUNFELS, TX US",8/25/16,0
USC00416276,"NEW BRAUNFELS, TX US",8/26/16,0
USC00416276,"NEW BRAUNFELS, TX US",8/27/16,0
USC00416276,"NEW BRAUNFELS, TX US",8/28/16,0.5
USC00416276,"NEW BRAUNFELS, TX US",8/29/16,0.7
USC00416276,"NEW BRAUNFELS, TX US",8/30/16,0
USC00416276,"NEW BRAUNFELS, TX US",8/31/16,0.16
USC00416276,"NEW BRAUNFELS, TX US",9/1/16,0
USC00416276,"NEW BRAUNFELS, TX US",9/2/16,0
USC00416276,"NEW BRAUNFELS, TX US",9/3/16,0
USC00416276,"NEW BRAUNFELS, TX US",9/4/16,0
USC00416276,"NEW BRAUNFELS, TX US",9/5/16,0
USC00416276,"NEW BRAUNFELS, TX US",9/6/16,0
USC00416276,"NEW BRAUNFELS, TX US",9/7/16,0
USC00416276,"NEW BRAUNFELS, TX US",9/8/16,0
USC00416276,"NEW BRAUNFELS, TX US",9/9/16,0
USC00416276,"NEW BRAUNFELS, TX US",9/10/16,0
USC00416276,"NEW BRAUNFELS, TX US",9/11/16,0
USC00416276,"NEW BRAUNFELS, TX US",9/12/16,0.78
USC00416276,"NEW BRAUNFELS, TX US",9/13/16,0
USC00416276,"NEW BRAUNFELS, TX US",9/14/16,0.14
USC00416276,"NEW BRAUNFELS, TX US",9/15/16,0
USC00416276,"NEW BRAUNFELS, TX US",9/16/16,0
USC00416276,"NEW BRAUNFELS, TX US",9/17/16,0
USC00416276,"NEW BRAUNFELS, TX US",9/18/16,0
USC00416276,"NEW BRAUNFELS, TX US",9/19/16,0
USC00416276,"NEW BRAUNFELS, TX US",9/20/16,0
