STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00417628,"RIOMEDINA, TX US",12/1/80,0,,
USC00417628,"RIOMEDINA, TX US",12/2/80,0,,
USC00417628,"RIOMEDINA, TX US",12/3/80,0,,
USC00417628,"RIOMEDINA, TX US",12/4/80,0,,
USC00417628,"RIOMEDINA, TX US",12/5/80,0,,
USC00417628,"RIOMEDINA, TX US",12/6/80,0,,
USC00417628,"RIOMEDINA, TX US",12/7/80,0,,
USC00417628,"RIOMEDINA, TX US",12/8/80,0,,
USC00417628,"RIOMEDINA, TX US",12/9/80,0.3,,
USC00417628,"RIOMEDINA, TX US",12/10/80,0,,
USC00417628,"RIOMEDINA, TX US",12/11/80,0,,
USC00417628,"RIOMEDINA, TX US",12/12/80,0,,
USC00417628,"RIOMEDINA, TX US",12/13/80,0,,
USC00417628,"RIOMEDINA, TX US",12/14/80,0,,
USC00417628,"RIOMEDINA, TX US",12/15/80,0.18,,
USC00417628,"RIOMEDINA, TX US",12/16/80,0,,
USC00417628,"RIOMEDINA, TX US",12/17/80,0,,
USC00417628,"RIOMEDINA, TX US",12/18/80,0,,
USC00417628,"RIOMEDINA, TX US",12/19/80,0,,
USC00417628,"RIOMEDINA, TX US",12/20/80,0,,
USC00417628,"RIOMEDINA, TX US",12/21/80,0,,
USC00417628,"RIOMEDINA, TX US",12/22/80,0,,
USC00417628,"RIOMEDINA, TX US",12/23/80,0,,
USC00417628,"RIOMEDINA, TX US",12/24/80,0,,
USC00417628,"RIOMEDINA, TX US",12/25/80,0,,
USC00417628,"RIOMEDINA, TX US",12/26/80,0,,
USC00417628,"RIOMEDINA, TX US",12/27/80,0,,
USC00417628,"RIOMEDINA, TX US",12/28/80,0,,
USC00417628,"RIOMEDINA, TX US",12/29/80,0,,
USC00417628,"RIOMEDINA, TX US",12/30/80,0,,
USC00417628,"RIOMEDINA, TX US",12/31/80,0,,
USC00417628,"RIOMEDINA, TX US",1/1/81,0,,
USC00417628,"RIOMEDINA, TX US",1/2/81,0,,
USC00417628,"RIOMEDINA, TX US",1/3/81,0,,
USC00417628,"RIOMEDINA, TX US",1/4/81,0,,
USC00417628,"RIOMEDINA, TX US",1/5/81,0,,
USC00417628,"RIOMEDINA, TX US",1/6/81,0,,
USC00417628,"RIOMEDINA, TX US",1/7/81,0,,
USC00417628,"RIOMEDINA, TX US",1/8/81,0.15,,
USC00417628,"RIOMEDINA, TX US",1/9/81,0,,
USC00417628,"RIOMEDINA, TX US",1/10/81,0,,
USC00417628,"RIOMEDINA, TX US",1/11/81,0,,
USC00417628,"RIOMEDINA, TX US",1/12/81,0,,
USC00417628,"RIOMEDINA, TX US",1/13/81,0,,
USC00417628,"RIOMEDINA, TX US",1/14/81,0,,
USC00417628,"RIOMEDINA, TX US",1/15/81,0,,
USC00417628,"RIOMEDINA, TX US",1/16/81,0,,
USC00417628,"RIOMEDINA, TX US",1/17/81,0,,
USC00417628,"RIOMEDINA, TX US",1/18/81,0,,
USC00417628,"RIOMEDINA, TX US",1/19/81,1.5,,
USC00417628,"RIOMEDINA, TX US",1/20/81,0,,
USC00417628,"RIOMEDINA, TX US",1/21/81,0,,
