Texas, Palmer Drought Severity Index (PDSI)
Missing: -99,
Date,Value
192910,-0.84
192911,-0.21
192912,-0.3
193001,-0.13
193002,-0.55
193003,-0.38
193004,-0.76
193005,-0.29
193006,-0.47
193007,-1.17
193008,-1.76
193009,-2.39
193010,1.39
193011,1.87
193012,2.11
193101,2.68
193102,3.11
193103,3.38
193104,3.52
193105,3.18
193106,2.92
193107,2.85
193108,-0.08
193109,-1.45
193110,-1.68
193111,-1.63
193112,0.77
193201,1.81
193202,2.29
193203,2.14
193204,1.99
193205,1.79
193206,1.87
193207,1.73
193208,2.18
193209,3.05
193210,-0.38
193211,-0.82
193212,0.74
193301,0.49
193302,0.62
193303,-0.1
193304,-0.49
193305,-0.63
193306,-1.53
193307,-1.34
193308,-0.98
193309,-1.55
193310,-2.08
193311,-2.48
193312,-2.72
193401,-2.12
193402,-2.18
193403,-1.31
193404,-1.02
193405,-1.66
193406,-2.63
193407,-3.27
193408,-3.79
193409,-3.83
193410,-4.54
193411,-3.63
193412,-3.38
193501,-3.38
193502,-2.96
193503,-3.01
193504,-2.87
193505,1.4
193506,2.35
193507,2.83
193508,2.31
193509,3.08
193510,2.7
193511,2.4
193512,2.58
193601,-0.36
193602,-0.77
193603,-1.21
193604,-1.48
193605,0.81
193606,-0.61
193607,-0.29
193608,-0.91
193609,1.42
193610,1.49
193611,1.3
193612,1.16
193701,1.23
193702,0.61
193703,1.17
193704,-0.5
193705,-0.96
193706,-1.21
193707,-1.59
193708,-1.8
193709,-2.19
193710,-0.02
193711,-0.03
193712,0.83
193801,1.23
193802,1.25
193803,1.05
193804,1.41
193805,1.1
193806,1.31
193807,1.81
193808,-0.51
193809,-1.23
193810,-1.89
193811,-1.97
193812,-2.05
193901,-1.44
193902,-1.28
193903,-1.64
193904,-1.99
193905,-2.35
193906,-2.55
193907,-2.64
193908,-2.5
193909,-3.36
193910,-3.55
193911,-3.06
193912,-3
194001,-3.07
194002,-2.66
194003,-2.83
194004,0.16
194005,0.03
194006,0.84
194007,0.69
194008,0.98
194009,-0.77
194010,-0.84
194011,1.76
194012,2.48
194101,2.57
194102,3.08
194103,3.7
194104,4.42
194105,5.1
194106,6.13
194107,7.29
194108,7.7
194109,7.51
194110,8
194111,7.09
194112,6.44
194201,5.52
194202,4.78
194203,4.06
194204,4.85
194205,4.15
194206,4.05
194207,4.09
194208,4.93
194209,4.86
194210,4.73
194211,-0.54
194212,-0.54
194301,-0.86
194302,-1.68
194303,-1.4
194304,-2.06
194305,-2.02
194306,-2.51
194307,-2.48
194308,-3.51
194309,-3.08
194310,-3.25
194311,-0.02
194312,0.39
194401,1.09
194402,1.4
194403,1.59
194404,1.43
194405,2.36
194406,2.24
194407,1.93
194408,2.49
194409,2.12
194410,1.39
194411,1.8
194412,2.39
194501,2.4
194502,2.59
194503,2.96
194504,3.17
194505,2.14
194506,1.99
194507,2.33
194508,2.44
194509,1.89
194510,2.1
194511,1.23
194512,0.84
194601,1.37
194602,1.23
194603,1.11
194604,0.8
194605,1.15
194606,1.15
194607,0.57
194608,0.62
194609,0.79
194610,0.79
194611,1.44
194612,1.27
194701,1.58
194702,1.08
194703,1.43
194704,1.33
194705,1.95
194706,1.84
194707,-0.52
194708,-0.57
194709,-1.55
194710,-2.27
194711,-1.73
194712,-1.27
194801,-1.17
194802,-0.67
194803,-0.67
194804,-1
194805,-1.14
194806,-1.41
194807,-1.56
194808,-1.99
194809,-2.37
194810,-2.55
194811,-2.5
194812,-2.97
194901,0.81
194902,1.04
194903,1.02
194904,1.98
194905,1.78
194906,2.13
194907,2.34
194908,2.24
194909,1.89
194910,2.76
194911,1.71
194912,1.76
195001,1.39
195002,1.31
195003,0.7
195004,0.85
195005,0.89
195006,0.92
195007,1.67
195008,1.61
195009,1.81
195010,-0.97
195011,-1.67
195012,-2.39
195101,-2.77
195102,-2.97
195103,-2.61
195104,-2.95
195105,-3.05
195106,-3.19
195107,-3.82
195108,-4.4
195109,-3.94
195110,-4.16
195111,-4.17
195112,-4.49
195201,-5.02
195202,-5.09
195203,-4.7
195204,-3.78
195205,-3.5
195206,-4.46
195207,-4.59
195208,-5.42
195209,-5.42
195210,-5.74
195211,-4.38
195212,-3.59
195301,-3.78
195302,-3.58
195303,-3.46
195304,-3.09
195305,-2.95
195306,-3.75
195307,-4.02
195308,-3.25
195309,-3.76
195310,-3.02
195311,-3.01
195312,-2.72
195401,-2.91
195402,-3.68
195403,-4.04
195404,-3.9
195405,-3.44
195406,-4.06
195407,-4.8
195408,-5.09
195409,-5.75
195410,-5.16
195411,-5.06
195412,-5.27
195501,-5.1
195502,-4.73
195503,-4.83
195504,-5.16
195505,-5.01
195506,-5.1
195507,-4.94
195508,-4.48
195509,-4.2
195510,-4.28
195511,-4.48
195512,-4.75
195601,-4.8
195602,-4.65
195603,-4.92
195604,-5.11
195605,-5.67
195606,-6.53
195607,-7.04
195608,-7.27
195609,-7.77
195610,-7.5
195611,-7.04
195612,-6.7
195701,-6.58
195702,-6.19
195703,0.66
195704,2.49
195705,3.57
195706,3.82
195707,3.42
195708,2.3
195709,2.28
195710,3.04
195711,4.03
195712,3.56
195801,4.2
195802,4.49
195803,4.53
195804,4.47
195805,3.99
195806,3.79
195807,3.52
195808,2.99
195809,3.83
195810,3.9
195811,3.31
195812,2.64
195901,1.82
195902,1.79
195903,1.17
195904,1.29
195905,1.03
195906,1.29
195907,1.89
195908,1.84
195909,1.02
195910,1.79
195911,1.65
195912,2.07
196001,2.31
196002,2.58
196003,2.33
196004,1.85
196005,1.02
196006,1.12
196007,1.73
196008,2.26
196009,1.51
196010,2.37
196011,2.11
196012,3.22
196101,3.79
196102,3.92
196103,3.56
196104,2.78
196105,1.78
196106,2.64
196107,3.4
196108,3.06
196109,2.92
196110,2.28
196111,2.61
196112,-0.07
196201,-0.21
196202,-0.9
196203,-1.08
196204,-0.87
196205,-2.12
196206,-1.63
196207,-1.81
196208,-2.45
196209,-1.74
196210,-1.82
196211,-1.71
196212,-1.66
196301,-2.01
196302,-2.15
196303,-2.71
196304,-3.17
196305,-3.52
196306,-3.71
196307,-4.14
196308,-4.32
196309,-4.43
196310,-4.85
196311,-4.18
196312,-3.85
196401,-3.49
196402,-3.07
196403,-2.62
196404,-2.65
196405,-3.01
196406,-3.31
196407,-3.92
196408,-3.67
196409,-2.58
196410,-2.85
196411,-2.62
196412,-2.7
196501,-2.75
196502,-1.88
196503,-1.62
196504,-2.02
196505,-1.09
196506,-0.9
196507,-1.44
196508,-1.58
196509,-1.53
196510,-1.53
196511,-1.87
196512,0.09
196601,0.12
196602,0.31
196603,-0.45
196604,1.13
196605,1.07
196606,1.11
196607,0.61
196608,1.93
196609,1.96
196610,-0.3
196611,-1.27
196612,-1.71
196701,-2.36
196702,-2.83
196703,-3.38
196704,-3.84
196705,-4.03
196706,-4.68
196707,-4.59
196708,-4.33
196709,1.24
196710,1.25
196711,0.99
196712,1.02
196801,2
196802,2.16
196803,2.49
196804,2.68
196805,3.15
196806,3.81
196807,4.76
196808,4.72
196809,4.53
196810,3.62
196811,3.97
196812,3.5
196901,2.69
196902,2.71
196903,3.23
196904,3.37
196905,3.66
196906,3.38
196907,2.77
196908,2.46
196909,2.15
196910,2.67
196911,2.6
196912,2.68
197001,2.28
197002,2.43
197003,2.97
197004,2.61
197005,2.62
197006,-0.04
197007,-0.53
197008,-0.91
197009,0.68
197010,0.88
197011,-0.59
197012,-1.51
197101,-2.49
197102,-2.9
197103,-3.5
197104,-3.81
197105,-4.37
197106,-4.89
197107,-4.84
197108,1.56
197109,2.16
197110,2.53
197111,2.08
197112,2.3
197201,-0.05
197202,-0.61
197203,-1.23
197204,-1.77
197205,0.2
197206,-0.17
197207,-0.18
197208,0.68
197209,0.75
197210,0.97
197211,1.25
197212,0.84
197301,1.33
197302,1.71
197303,2.22
197304,2.92
197305,2.18
197306,3.11
197307,4.17
197308,4.06
197309,4.63
197310,5.1
197311,-0.38
197312,-0.64
197401,-0.35
197402,-0.88
197403,-1.25
197404,-1.46
197405,-1.87
197406,-2.28
197407,-2.88
197408,1.67
197409,3.22
197410,3.81
197411,4.21
197412,4.28
197501,4.01
197502,4.16
197503,3.57
197504,3.35
197505,4
197506,4.16
197507,5.03
197508,5.2
197509,0.04
197510,-0.31
197511,-0.55
197512,-0.83
197601,-1.43
197602,-2.42
197603,-2.5
197604,0.51
197605,0.59
197606,0.13
197607,1.16
197608,0.6
197609,1.07
197610,1.97
197611,2.04
197612,2.26
197701,2.44
197702,2.26
197703,2.33
197704,3.06
197705,-0.34
197706,-0.25
197707,-0.74
197708,-0.91
197709,-1.8
197710,-2.07
197711,-1.98
197712,-2.53
197801,-2.35
197802,-2.01
197803,-2.17
197804,-2.74
197805,-2.98
197806,-3.05
197807,-3.61
197808,0.14
197809,0.75
197810,0.15
197811,0.67
197812,0.46
197901,0.99
197902,1.18
197903,1.79
197904,2.12
197905,2.5
197906,3.07
197907,4.26
197908,4.8
197909,0.02
197910,-0.58
197911,-0.87
197912,-0.69
198001,-0.67
198002,-0.92
198003,-0.82
198004,-0.97
198005,-0.44
198006,-1.2
198007,-2.38
198008,-2.36
198009,-1.23
198010,-1.49
198011,-1.16
198012,-1.45
198101,-1.64
198102,-1.91
198103,0.33
198104,0.27
198105,0.66
198106,1.52
198107,1.62
198108,2.04
198109,1.56
198110,2.76
198111,-0.2
198112,-0.66
198201,-0.88
198202,-0.7
198203,-1
198204,-0.97
198205,0.91
198206,1.39
198207,1.35
198208,-0.64
198209,-1.47
198210,-1.58
198211,0.57
198212,1.06
198301,1.1
198302,1.51
198303,1.87
198304,1.27
198305,1.48
198306,1.72
198307,1.73
198308,-0.1
198309,-0.6
198310,-0.24
198311,-0.28
198312,-0.42
198401,-0.41
198402,-0.66
198403,-0.68
198404,-1.34
198405,-2.02
198406,-2.36
