"STATION","NAME","DATE","PRCP"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-01","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-02","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-03","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-04","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-05","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-06","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-07","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-08","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-09","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-10","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-11","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-12","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-13","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-14","0.88"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-15","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-16","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-17","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-18","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-19","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-20","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-21","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-22","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-23","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-24","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-25","0.09"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-26","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-27","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-28","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-29","0.11"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-30","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-01-31","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-01","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-02","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-03","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-04","0.50"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-05","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-06","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-07","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-08","0.16"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-09","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-10","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-11","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-12","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-13","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-14","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-15","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-16","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-17","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-18","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-19","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-20","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-21","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-22","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-23","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-24","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-25","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-26","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-27","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-02-28","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-01","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-02","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-03","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-04","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-05","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-06","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-07","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-08","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-09","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-10","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-11","0.34"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-12","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-13","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-14","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-15","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-16","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-17","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-18","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-19","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-20","0.09"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-21","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-22","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-23","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-24","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-25","0.20"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-26","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-27","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-28","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-29","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-30","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-03-31","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-01","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-02","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-03","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-04","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-05","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-06","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-07","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-08","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-09","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-10","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-11","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-12","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-13","2.04"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-14","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-15","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-16","0.36"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-17","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-18","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-19","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-20","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-21","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-22","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-23","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-24","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-25","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-26","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-27","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1902-04-28","0.00"
