STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,TAVG,TMAX,TMIN
US1TXCML006,29.8374,-98.3987,316.1,3/3/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,3/4/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,3/5/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,3/7/16,,,0.03,,,
US1TXCML006,29.8374,-98.3987,316.1,3/8/16,,,0.14,,,
US1TXCML006,29.8374,-98.3987,316.1,3/9/16,,,0.45,,,
US1TXCML006,29.8374,-98.3987,316.1,3/10/16,,,0.44,,,
US1TXCML006,29.8374,-98.3987,316.1,3/13/16,3,0.97,,,,
US1TXCML006,29.8374,-98.3987,316.1,3/15/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,3/16/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,3/17/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,3/18/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,3/19/16,,,0.64,,,
US1TXCML006,29.8374,-98.3987,316.1,3/20/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,3/21/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,3/22/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,3/23/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,3/24/16,,,0.41,,,
US1TXCML006,29.8374,-98.3987,316.1,3/25/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,3/26/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,3/29/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,3/30/16,,,0.12,,,
US1TXCML006,29.8374,-98.3987,316.1,3/31/16,,,0.01,,,
US1TXCML006,29.8374,-98.3987,316.1,4/1/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,4/2/16,,,0.27,,,
US1TXCML006,29.8374,-98.3987,316.1,4/3/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,4/4/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,4/5/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,4/6/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,4/7/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,4/8/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,4/9/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,4/11/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,4/12/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,4/13/16,,,2.18,,,
US1TXCML006,29.8374,-98.3987,316.1,4/14/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,4/15/16,,,0,,,
US1TXCML006,29.8374,-98.3987,316.1,4/16/16,,,0.01,,,
