STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00417628,"RIOMEDINA, TX US",2/1/00,1,,
USC00417628,"RIOMEDINA, TX US",2/2/00,0,,
USC00417628,"RIOMEDINA, TX US",2/3/00,0,,
USC00417628,"RIOMEDINA, TX US",2/4/00,0,,
USC00417628,"RIOMEDINA, TX US",2/5/00,0,,
USC00417628,"RIOMEDINA, TX US",2/6/00,0,,
USC00417628,"RIOMEDINA, TX US",2/7/00,0,,
USC00417628,"RIOMEDINA, TX US",2/8/00,0,,
USC00417628,"RIOMEDINA, TX US",2/9/00,0,,
USC00417628,"RIOMEDINA, TX US",2/10/00,0,,
USC00417628,"RIOMEDINA, TX US",2/11/00,0,,
USC00417628,"RIOMEDINA, TX US",2/12/00,0,,
USC00417628,"RIOMEDINA, TX US",2/13/00,0,,
USC00417628,"RIOMEDINA, TX US",2/14/00,0,,
USC00417628,"RIOMEDINA, TX US",2/15/00,0,,
USC00417628,"RIOMEDINA, TX US",2/16/00,0,,
USC00417628,"RIOMEDINA, TX US",2/17/00,0,,
USC00417628,"RIOMEDINA, TX US",2/18/00,0,,
USC00417628,"RIOMEDINA, TX US",2/19/00,0,,
USC00417628,"RIOMEDINA, TX US",2/20/00,0,,
USC00417628,"RIOMEDINA, TX US",2/21/00,0,,
USC00417628,"RIOMEDINA, TX US",2/22/00,0.52,,
USC00417628,"RIOMEDINA, TX US",2/23/00,0,,
USC00417628,"RIOMEDINA, TX US",2/24/00,0,,
USC00417628,"RIOMEDINA, TX US",2/25/00,0,,
USC00417628,"RIOMEDINA, TX US",2/26/00,0,,
USC00417628,"RIOMEDINA, TX US",2/27/00,0,,
USC00417628,"RIOMEDINA, TX US",2/28/00,0,,
USC00417628,"RIOMEDINA, TX US",2/29/00,0,,
USC00417628,"RIOMEDINA, TX US",3/1/00,0,,
USC00417628,"RIOMEDINA, TX US",3/2/00,0,,
USC00417628,"RIOMEDINA, TX US",3/3/00,0,,
USC00417628,"RIOMEDINA, TX US",3/4/00,0,,
USC00417628,"RIOMEDINA, TX US",3/5/00,0,,
USC00417628,"RIOMEDINA, TX US",3/6/00,0,,
USC00417628,"RIOMEDINA, TX US",3/7/00,0,,
