STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00417628,"RIOMEDINA, TX US",4/1/74,0,,
USC00417628,"RIOMEDINA, TX US",4/2/74,0,,
USC00417628,"RIOMEDINA, TX US",4/3/74,0,,
USC00417628,"RIOMEDINA, TX US",4/4/74,0,,
USC00417628,"RIOMEDINA, TX US",4/5/74,0,,
USC00417628,"RIOMEDINA, TX US",4/6/74,0,,
USC00417628,"RIOMEDINA, TX US",4/7/74,0,,
USC00417628,"RIOMEDINA, TX US",4/8/74,0,,
USC00417628,"RIOMEDINA, TX US",4/9/74,0,,
USC00417628,"RIOMEDINA, TX US",4/10/74,0,,
USC00417628,"RIOMEDINA, TX US",4/11/74,0.55,,
USC00417628,"RIOMEDINA, TX US",4/12/74,0,,
USC00417628,"RIOMEDINA, TX US",4/13/74,0,,
USC00417628,"RIOMEDINA, TX US",4/14/74,0.25,,
USC00417628,"RIOMEDINA, TX US",4/15/74,0,,
USC00417628,"RIOMEDINA, TX US",4/16/74,0,,
USC00417628,"RIOMEDINA, TX US",4/17/74,0,,
USC00417628,"RIOMEDINA, TX US",4/18/74,0,,
USC00417628,"RIOMEDINA, TX US",4/19/74,0,,
USC00417628,"RIOMEDINA, TX US",4/20/74,0,,
USC00417628,"RIOMEDINA, TX US",4/21/74,0,,
USC00417628,"RIOMEDINA, TX US",4/22/74,0.76,,
USC00417628,"RIOMEDINA, TX US",4/23/74,0,,
USC00417628,"RIOMEDINA, TX US",4/24/74,0,,
USC00417628,"RIOMEDINA, TX US",4/25/74,0,,
USC00417628,"RIOMEDINA, TX US",4/26/74,0,,
USC00417628,"RIOMEDINA, TX US",4/27/74,0,,
USC00417628,"RIOMEDINA, TX US",4/28/74,0,,
USC00417628,"RIOMEDINA, TX US",4/29/74,0,,
USC00417628,"RIOMEDINA, TX US",4/30/74,1.74,,
USC00417628,"RIOMEDINA, TX US",5/1/74,0,,
USC00417628,"RIOMEDINA, TX US",5/2/74,0,,
USC00417628,"RIOMEDINA, TX US",5/3/74,0,,
USC00417628,"RIOMEDINA, TX US",5/4/74,0.71,,
USC00417628,"RIOMEDINA, TX US",5/5/74,0.55,,
USC00417628,"RIOMEDINA, TX US",5/6/74,0,,
USC00417628,"RIOMEDINA, TX US",5/7/74,0,,
USC00417628,"RIOMEDINA, TX US",5/8/74,0,,
USC00417628,"RIOMEDINA, TX US",5/9/74,0,,
USC00417628,"RIOMEDINA, TX US",5/10/74,1.12,,
USC00417628,"RIOMEDINA, TX US",5/11/74,0,,
USC00417628,"RIOMEDINA, TX US",5/12/74,0,,
USC00417628,"RIOMEDINA, TX US",5/13/74,0,,
USC00417628,"RIOMEDINA, TX US",5/14/74,0,,
USC00417628,"RIOMEDINA, TX US",5/15/74,0,,
USC00417628,"RIOMEDINA, TX US",5/16/74,0,,
USC00417628,"RIOMEDINA, TX US",5/17/74,0,,
USC00417628,"RIOMEDINA, TX US",5/18/74,0,,
