date,dtype,temp
1900-10-01,min,27.86
1900-11-01,max,34.25
1900-11-01,avg,24.1
1900-11-01,min,13.95
1900-12-01,max,32.45
1900-12-01,avg,23.99
1900-12-01,min,15.53
1901-01-01,max,25.99
1901-01-01,avg,17.85
1901-01-01,min,9.72
1901-02-01,max,26.64
1901-02-01,avg,15.49
1901-02-01,min,4.37
1901-03-01,max,36.81
1901-03-01,avg,26.22
1901-03-01,min,15.66
1901-04-01,max,47.01
1901-04-01,avg,35.29
1901-04-01,min,23.59
1901-05-01,max,63.34
1901-05-01,avg,50.85
1901-05-01,min,38.35
1901-06-01,max,60.62
1901-06-01,avg,48.87
1901-06-01,min,37.09
1901-07-01,max,80.78
1901-07-01,avg,64.72
1901-07-01,min,48.65
1901-08-01,max,74.82
1901-08-01,avg,60.93
1901-08-01,min,46.99
1901-09-01,max,57.11
1901-09-01,avg,45.5
1901-09-01,min,33.89
1901-10-01,max,55.06
1901-10-01,avg,43.03
1901-10-01,min,30.99
1901-11-01,max,42.8
1901-11-01,avg,32.09
1901-11-01,min,21.38
1901-12-01,max,26.47
1901-12-01,avg,19.31
1901-12-01,min,12.15
1902-01-01,max,24.1
1902-01-01,avg,15.01
1902-01-01,min,5.94
1902-02-01,max,32.92
1902-02-01,avg,22.95
1902-02-01,min,12.97
1902-03-01,max,35.6
1902-03-01,avg,25.16
1902-03-01,min,14.74
1902-04-01,max,46.58
1902-04-01,avg,34.88
1902-04-01,min,23.2
1902-05-01,max,59.85
1902-05-01,avg,47.41
1902-05-01,min,34.97
1902-06-01,max,65.82
1902-06-01,avg,52.27
1902-06-01,min,38.71
1902-07-01,max,71.6
1902-07-01,avg,57.43
1902-07-01,min,43.27
1902-08-01,max,73.04
1902-08-01,avg,58.15
1902-08-01,min,43.23
1902-09-01,max,62.47
1902-09-01,avg,48.56
1902-09-01,min,34.63
1902-10-01,max,52.97
1902-10-01,avg,40.46
1902-10-01,min,27.93
1902-11-01,max,36.32
1902-11-01,avg,26.78
1902-11-01,min,17.26
1902-12-01,max,30.63
1902-12-01,avg,19.8
1902-12-01,min,8.98
1903-01-01,max,31.71
1903-01-01,avg,20.95
1903-01-01,min,10.2
1903-02-01,max,25.72
1903-02-01,avg,12.22
1903-02-01,min,-1.26
1903-03-01,max,38.28
1903-03-01,avg,24.69
1903-03-01,min,11.12
1903-04-01,max,47.14
1903-04-01,avg,34.12
1903-04-01,min,21.09
1903-05-01,max,54.64
1903-05-01,avg,42.15
1903-05-01,min,29.64
1903-06-01,max,68.36
1903-06-01,avg,54.03
1903-06-01,min,39.7
1903-07-01,max,72.46
1903-07-01,avg,57.49
1903-07-01,min,42.49
1903-08-01,max,73.51
1903-08-01,avg,58.41
1903-08-01,min,43.29
1903-09-01,max,59.13
1903-09-01,avg,45.95
1903-09-01,min,32.77
1903-10-01,max,55.36
1903-10-01,avg,41.9
1903-10-01,min,28.42
1903-11-01,max,38.53
1903-11-01,avg,26.91
1903-11-01,min,15.28
1903-12-01,max,31.78
1903-12-01,avg,22.23
1903-12-01,min,12.65
1904-01-01,max,28.78
1904-01-01,avg,19.0
1904-01-01,min,9.25
1904-02-01,max,33.4
1904-02-01,avg,22.46
1904-02-01,min,11.53
1904-03-01,max,35.85
1904-03-01,avg,26.85
1904-03-01,min,17.85
1904-04-01,max,51.37
1904-04-01,avg,38.55
1904-04-01,min,25.74
1904-05-01,max,57.79
1904-05-01,avg,45.46
1904-05-01,min,33.13
1904-06-01,max,66.16
1904-06-01,avg,51.8
1904-06-01,min,37.42
1904-07-01,max,73.24
1904-07-01,avg,58.6
1904-07-01,min,43.95
1904-08-01,max,74.07
1904-08-01,avg,59.38
1904-08-01,min,44.67
1904-09-01,max,66.18
1904-09-01,avg,51.4
1904-09-01,min,36.61
1904-10-01,max,54.75
1904-10-01,avg,42.62
1904-10-01,min,30.47
1904-11-01,max,47.01
1904-11-01,avg,34.23
1904-11-01,min,21.43
1904-12-01,max,31.98
1904-12-01,avg,22.87
1904-12-01,min,13.78
1905-01-01,max,27.28
1905-01-01,avg,20.1
1905-01-01,min,12.94
1905-02-01,max,27.88
1905-02-01,avg,15.75
1905-02-01,min,3.63
1905-03-01,max,42.89
1905-03-01,avg,32.13
1905-03-01,min,21.34
1905-04-01,max,47.57
1905-04-01,avg,36.07
1905-04-01,min,24.57
1905-05-01,max,51.08
1905-05-01,avg,41.16
1905-05-01,min,31.24
1905-06-01,max,64.08
1905-06-01,avg,51.33
1905-06-01,min,38.59
1905-07-01,max,75.61
1905-07-01,avg,60.91
1905-07-01,min,46.18
1905-08-01,max,76.03
1905-08-01,avg,61.92
1905-08-01,min,47.8
1905-09-01,max,67.98
1905-09-01,avg,53.2
1905-09-01,min,38.41
1905-10-01,max,45.64
1905-10-01,avg,35.38
1905-10-01,min,25.12
1905-11-01,max,39.56
1905-11-01,avg,28.9
1905-11-01,min,18.27
1905-12-01,max,27.63
1905-12-01,avg,19.08
1905-12-01,min,10.53
1906-01-01,max,29.93
1906-01-01,avg,20.41
1906-01-01,min,10.89
1906-02-01,max,33.76
1906-02-01,avg,22.48
1906-02-01,min,11.19
1906-03-01,max,31.44
1906-03-01,avg,19.69
1906-03-01,min,7.95
1906-04-01,max,51.4
1906-04-01,avg,37.96
1906-04-01,min,24.53
1906-05-01,max,55.35
1906-05-01,avg,43.63
1906-05-01,min,31.93
1906-06-01,max,63.18
1906-06-01,avg,50.52
1906-06-01,min,37.87
1906-07-01,max,76.39
1906-07-01,avg,61.02
1906-07-01,min,45.63
1906-08-01,max,71.71
1906-08-01,avg,58.59
1906-08-01,min,45.48
1906-09-01,max,66.27
1906-09-01,avg,52.36
1906-09-01,min,38.43
1906-10-01,max,51.6
1906-10-01,avg,39.67
1906-10-01,min,27.73
1906-11-01,max,34.95
1906-11-01,avg,25.36
1906-11-01,min,15.78
1906-12-01,max,33.17
1906-12-01,avg,25.11
1906-12-01,min,17.04
1907-01-01,max,17.91
1907-01-01,avg,9.14
1907-01-01,min,0.39
1907-02-01,max,36.86
1907-02-01,avg,26.24
1907-02-01,min,15.6
1907-03-01,max,38.32
1907-03-01,avg,29.48
1907-03-01,min,20.64
1907-04-01,max,44.83
1907-04-01,avg,33.49
1907-04-01,min,22.14
1907-05-01,max,51.4
1907-05-01,avg,41.09
1907-05-01,min,30.78
1907-06-01,max,60.62
1907-06-01,avg,49.24
1907-06-01,min,37.85
1907-07-01,max,72.32
1907-07-01,avg,58.51
1907-07-01,min,44.69
1907-08-01,max,71.06
1907-08-01,avg,56.66
1907-08-01,min,42.26
1907-09-01,max,61.18
1907-09-01,avg,48.85
1907-09-01,min,36.52
1907-10-01,max,55.71
1907-10-01,avg,43.2
1907-10-01,min,30.69
1907-11-01,max,37.35
