,year,county_name,dtype,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
5551,1946,Bexar,min, 9.77,11.3,20.43,28.98,31.26,40.12,47.5,43.61,35.82,25.95,17.17,14.95
5552,1947,Bexar,min, 7.27,8.94,14.31,23.49,33.93,37.92,46.53,45.39,38.62,32.94,13.64,12.69
5553,1948,Bexar,min, 7.52,6.93,9.91,25.25,33.8,42.73,44.6,43.93,38.53,27.18,16.25,5.14
5554,1949,Bexar,min,-7.73,4.93,15.1,26.91,35.33,39.94,44.85,44.91,36.0,25.21,25.93,10.65
5555,1950,Bexar,min, 1.71,15.51,13.96,22.14,27.63,37.47,43.34,42.22,36.16,31.82,18.23,17.37
5556,1951,Bexar,min, 4.87,12.6,10.35,21.51,33.75,35.08,45.25,44.53,33.4,27.34,16.32,6.46
5557,1952,Bexar,min, 7.70,9.54,10.42,25.65,34.12,40.64,43.92,44.78,37.87,27.72,11.44,14.16
5558,1953,Bexar,min,21.92,12.51,18.23,19.67,29.57,39.07,47.43,44.94,36.77,30.09,23.85,12.94
5559,1954,Bexar,min,11.39,19.24,10.24,25.05,32.81,38.23,48.22,42.96,36.3,24.85,23.43,10.98
5560,1955,Bexar,min, 7.66,5.94,7.3,22.44,32.43,38.97,46.69,47.25,36.01,28.89,10.36,9.18
5561,1956,Bexar,min,10.62,3.81,13.59,22.95,34.83,41.13,45.72,42.22,36.63,29.25,13.82,11.93
5562,1957,Bexar,min,-3.17,13.17,15.55,22.05,35.33,40.51,46.67,44.96,35.71,28.8,14.04,16.09
5563,1958,Bexar,min,11.53,15.48,13.6,22.59,36.7,40.42,43.21,46.51,36.55,28.44,17.76,13.98
5564,1959,Bexar,min, 9.84,7.3,15.98,22.96,29.61,41.97,45.21,43.7,36.82,27.48,11.75,11.71
5565,1960,Bexar,min, 9.66,4.89,15.04,24.44,32.05,40.32,47.3,43.0,37.51,29.26,18.03,9.41
5566,1961,Bexar,min, 9.88,18.77,18.55,21.87,33.53,42.87,46.85,47.91,33.04,26.8,14.88,7.61
5567,1962,Bexar,min,-0.33,10.99,13.1,25.48,33.58,39.88,43.84,42.66,35.73,30.67,21.69,15.39
5568,1963,Bexar,min,-2.16,18.46,15.73,23.23,33.91,40.28,44.26,44.65,42.33,33.53,21.96,9.0
5569,1964,Bexar,min, 9.52,6.26,9.16,23.92,33.28,40.05,47.41,42.1,34.09,28.76,17.02,10.09
5570,1965,Bexar,min,15.67,9.0,1.8,26.83,30.96,39.58,46.08,43.84,29.91,30.6,23.23,14.29
5571,1966,Bexar,min, 9.61,8.4,15.85,21.45,32.94,38.88,47.79,43.63,41.09,26.82,19.2,12.67
5572,1967,Bexar,min,15.15,13.59,16.25,21.7,30.49,39.67,46.22,44.08,39.97,29.39,18.09,5.16
5573,1968,Bexar,min, 5.85,14.97,19.04,19.81,30.07,38.98,44.44,42.69,36.66,28.02,17.11,7.43
5574,1969,Bexar,min, 8.82,11.66,10.0,26.92,33.01,37.69,45.09,45.79,38.59,23.58,18.39,13.8
5575,1970,Bexar,min,11.43,14.31,12.87,18.46,32.29,41.05,46.81,45.39,33.39,24.1,17.92,11.12
5576,1971,Bexar,min,12.06,11.34,14.02,22.95,32.76,39.54,42.89,48.13,33.39,25.95,17.53,8.1
5577,1972,Bexar,min, 4.98,15.24,22.17,23.31,32.59,41.45,42.39,44.98,34.83,27.03,17.82,3.51
5578,1973,Bexar,min, 5.76,10.53,15.84,20.62,30.85,41.05,45.63,45.0,36.7,30.13,19.26,15.08
5579,1974,Bexar,min, 8.17,14.94,17.46,25.0,29.82,40.68,47.01,41.18,32.88,28.8,19.44,10.71
5580,1975,Bexar,min, 6.98,5.05,14.67,17.56,29.57,37.26,48.27,41.29,33.42,28.11,14.23,15.24
5581,1976,Bexar,min, 9.64,14.61,10.78,24.91,33.55,37.53,45.95,43.03,37.49,25.29,18.32,12.25
5582,1977,Bexar,min, 3.96,14.29,13.66,24.94,33.24,43.63,46.18,42.71,36.07,28.62,17.22,10.24
5583,1978,Bexar,min, 5.45,8.29,18.88,26.94,32.14,39.27,44.55,42.4,37.54,27.86,10.45,-1.61
5584,1979,Bexar,min,-7.35,9.39,17.38,23.22,31.8,38.61,45.43,46.33,38.79,30.0,12.45,13.64
5585,1980,Bexar,min, 3.54,14.18,15.51,25.61,35.19,40.06,46.53,42.3,38.1,27.59,20.19,18.64
5586,1981,Bexar,min,15.37,12.7,19.63,26.65,34.52,39.36,44.67,44.67,37.94,26.73,22.53,12.79
5587,1982,Bexar,min, 4.03,8.56,17.47,18.93,29.84,38.5,45.75,45.9,36.66,28.18,15.42,12.11
5588,1983,Bexar,min,16.47,15.87,20.64,20.8,30.13,38.75,45.19,49.39,36.52,30.43,19.83,-1.86
5589,1984,Bexar,min,10.51,11.62,19.09,21.83,31.5,38.57,47.57,47.16,32.68,22.86,17.08,3.7
5590,1985,Bexar,min, 2.79,2.91,12.15,25.92,34.5,40.14,47.57,41.04,32.74,25.27,6.64,8.8
5591,1986,Bexar,min,15.69,12.54,24.22,25.57,30.99,42.67,42.64,44.31,34.16,28.22,15.26,10.35
5592,1987,Bexar,min, 8.38,13.66,17.89,28.17,36.79,41.63,44.83,41.45,36.59,27.34,20.68,10.6
5593,1988,Bexar,min, 6.35,11.79,15.26,25.95,34.05,45.52,47.44,43.83,35.71,32.41,17.29,9.81
5594,1989,Bexar,min, 8.98,0.91,17.67,24.55,32.81,39.29,48.74,43.88,35.91,28.76,20.77,9.55
5595,1990,Bexar,min,13.71,9.86,17.58,26.91,30.88,40.15,45.99,45.66,41.54,26.42,20.62,-0.63
5596,1991,Bexar,min, 6.40,19.17,16.47,23.74,33.01,40.35,46.35,47.19,37.92,25.74,13.62,12.33
5597,1992,Bexar,min,11.35,17.87,22.33,28.51,35.64,41.63,42.58,43.02,35.87,29.73,15.66,6.17
5598,1993,Bexar,min, 5.20,5.58,20.01,24.48,35.31,38.59,40.21,41.45,34.48,27.66,11.52,12.72
5599,1994,Bexar,min,14.65,7.52,18.43,24.73,36.48,40.86,45.14,45.88,38.93,28.22,12.33,14.27
5600,1995,Bexar,min,11.73,16.21,16.83,22.21,30.96,38.66,44.89,45.27,37.26,25.29,21.61,12.51
5601,1996,Bexar,min, 6.28,9.95,13.86,24.98,31.62,40.8,46.15,44.55,35.04,27.27,18.05,11.64
5602,1997,Bexar,min, 8.35,10.67,17.78,19.31,33.35,42.51,45.46,45.72,40.51,28.31,16.84,11.41
5603,1998,Bexar,min,12.51,14.05,16.52,24.94,33.1,36.66,48.83,46.65,43.05,29.43,23.23,9.36
5604,1999,Bexar,min,14.49,16.03,17.33,22.37,31.05,38.93,44.49,45.93,33.57,29.3,25.68,14.2
5605,2000,Bexar,min,13.17,17.89,18.64,27.01,35.17,39.67,47.26,46.47,36.39,29.64,8.87,8.85
5606,2001,Bexar,min,10.06,8.19,19.74,25.38,33.82,41.04,48.0,47.46,40.39,27.75,22.87,11.01
5607,2002,Bexar,min,10.06,8.58,11.79,23.22,30.79,40.95,48.69,41.81,38.05,22.82,18.43,14.85
5608,2003,Bexar,min,17.82,7.88,19.44,26.85,33.33,38.73,49.33,48.36,35.64,30.49,12.67,14.9
5609,2004,Bexar,min,10.35,12.42,22.71,26.87,32.77,38.91,45.68,42.69,37.04,29.62,18.45,15.31
5610,2005,Bexar,min,12.96,11.12,18.5,24.67,32.54,39.56,46.99,43.7,37.47,31.06,19.49,10.72
5611,2006,Bexar,min,16.59,9.03,16.16,27.7,33.78,42.28,49.86,43.68,37.31,26.67,19.96,12.72
5612,2007,Bexar,min, 4.91,14.58,23.59,26.78,33.98,41.95,51.48,46.38,37.89,29.28,19.29,8.76
5613,2008,Bexar,min, 6.37,13.32,13.37,18.41,32.5,38.71,46.13,44.67,35.71,28.98,23.77,6.8
5614,2009,Bexar,min,11.71,13.26,15.62,24.17,32.43,39.11,44.53,43.77,39.52,22.23,19.71,3.67
5615,2010,Bexar,min,12.16,11.14,19.65,23.74,28.38,40.21,45.12,44.17,37.51,32.52,16.36,12.67
5616,2011,Bexar,min,11.17,5.49,18.75,21.88,31.32,38.61,46.94,46.27,38.89,32.13,15.76,9.86
5617,2012,Bexar,min,14.02,11.17,23.65,28.29,32.04,40.77,49.19,45.99,39.11,27.45,22.14,10.87
5618,2013,Bexar,min, 9.86,11.59,16.07,20.23,35.33,41.27,48.47,47.84,41.97,26.01,19.53,7.79
5619,2014,Bexar,min,12.16,6.71,18.28,24.42,34.36,39.33,47.43,45.86,38.86,32.25,14.45,14.9
5620,2015,Bexar,min,15.24,16.47,22.62,25.56,34.84,45.48,45.72,45.1,40.78,34.81,16.38,11.3
5621,2016,Bexar,min,15.22,19.09,20.62,29.43,34.41,43.93,46.02,44.64,39.09,32.76,25.21,4.53
5622,2017,Bexar,min, 5.27,16.11,26.44,26.29,33.46,41.65,48.67,45.27,38.12,26.78,21.43,12.85
5623,2018,Bexar,min,15.44,6.4,18.19,24.15,37.44,41.41,47.35,44.55,37.4,28.06,16.84,10.96
5624,2019,Bexar,min,12.94,5.27,12.54,27.63,,,,,,,,
